NOM_REGION,CLAVE_REGION,NOM_MUN,CVEGEO,POBTOT,POB_HOM,POR_HOM,POB_MUJ,POR_MUJ,POB_EDAD_0_14,POR_EDAD_0_14,POB_EDAD_15_64,POR_EDAD_15_64,POB_EDAD_65+,POR_EDAD_65+,SUPERFICIE,DENSIDAD,POB_RURAL,POB_ETNIA,POB_MIGRANTE,POBREZA_ING,POBREZA_ING_EXTR,POBREZA_MULTI,MARGINACION_1,VULNERABILIDAD_SOCIAL,PRIORIDAD_SOCIAL,REZAGO_SOCIAL_1,IMN_num,REZAGO_SOCIAL_NUM,longitud,latitud,Hospitalizados,Muertes,Positivos,TASA_HospitalizadoS,TASA_Muertes,TASA_Positivos
AGUASCALIENTES,1,AGUASCALIENTES,1001,948990.0,486917.0,51.31,462073.0,48.69,240583.0,25.35,639532.0,67.39,67941.0,7.16,116635.92,8.14,7.52,0.43,,23.68,1.97,,Muy bajo,,,Muy bajo,0.94,-1.32,-102.3,21.88,0.0,0.0,0.0,0.0,0.0,0.0
AGUASCALIENTES,1,ASIENTOS,1002,51536.0,26275.0,50.98,25261.0,49.02,16266.0,31.56,31919.0,61.94,3331.0,6.46,54337.43,0.95,78.22,0.08,,40.13,4.14,,Muy bajo,,,Muy bajo,0.89,-0.86,-102.09,22.24,0.0,0.0,0.0,0.0,0.0,0.0
AGUASCALIENTES,1,CALVILLO,1003,58250.0,29687.0,50.96,28563.0,49.04,16720.0,28.7,35854.0,61.55,5641.0,9.68,92335.78,0.63,51.3,0.3,,45.76,4.5,,Muy bajo,,,Muy bajo,0.89,-0.92,-102.72,21.85,0.0,0.0,0.0,0.0,0.0,0.0
AGUASCALIENTES,1,COSIO,1004,17000.0,8708.0,51.22,8292.0,48.78,5183.0,30.49,10699.0,62.94,1118.0,6.58,12838.35,1.32,65.47,0.09,,37.04,3.38,,Muy bajo,,,Muy bajo,0.89,-1.0,-102.3,22.37,0.0,0.0,0.0,0.0,0.0,0.0
AGUASCALIENTES,1,JESUS MARIA,1005,129929.0,65710.0,50.57,64219.0,49.43,38303.0,29.48,84949.0,65.38,6538.0,5.03,49989.51,2.6,37.16,0.3,,26.34,3.29,,Muy bajo,,,Muy bajo,0.92,-1.17,-102.34,21.96,0.0,0.0,0.0,0.0,0.0,0.0
AGUASCALIENTES,1,PABELLON DE ARTEAGA,1006,47646.0,24269.0,50.94,23377.0,49.06,14140.0,29.68,30491.0,63.99,2977.0,6.25,19573.59,2.43,32.76,0.24,,28.92,2.88,,Muy bajo,,,Muy bajo,0.92,-1.17,-102.28,22.15,0.0,0.0,0.0,0.0,0.0,0.0
AGUASCALIENTES,1,RINCON DE ROMOS,1007,57369.0,29268.0,51.02,28101.0,48.98,17703.0,30.86,35926.0,62.62,3579.0,6.24,37229.52,1.54,44.29,0.71,,40.51,5.56,,Muy bajo,,,Muy bajo,0.9,-1.07,-102.32,22.23,0.0,0.0,0.0,0.0,0.0,0.0
AGUASCALIENTES,1,SAN JOSE DE GRACIA,1008,9552.0,5020.0,52.55,4532.0,47.45,3033.0,31.75,5838.0,61.12,681.0,7.13,85779.06,0.11,41.3,0.31,,45.77,2.32,,Muy bajo,,,Muy bajo,0.9,-0.96,-102.42,22.15,0.0,0.0,0.0,0.0,0.0,0.0
AGUASCALIENTES,1,TEPEZALA,1009,22485.0,11371.0,50.57,11114.0,49.43,6858.0,30.5,14007.0,62.29,1566.0,6.96,22966.1,0.98,76.76,0.16,,37.65,3.15,,Muy bajo,,,Muy bajo,0.89,-0.9,-102.17,22.22,0.0,0.0,0.0,0.0,0.0,0.0
AGUASCALIENTES,1,EL LLANO,1010,20853.0,10407.0,49.91,10446.0,50.09,6249.0,29.97,13211.0,63.35,1392.0,6.68,50405.1,0.41,69.75,0.1,,40.61,4.81,,Muy bajo,,,Muy bajo,0.89,-0.83,-101.97,21.92,0.0,0.0,0.0,0.0,0.0,0.0
