NOM_REGION,NOM_MUN,POBTOT,POR_MUJ,POB_EDAD_0_14,POR_EDAD_0_14,POB_EDAD_15_64,POR_EDAD_15_64,POB_EDAD_65+,POR_EDAD_65+,SUPERFICIE,POR_POB_RURAL,POR_POB_ETNIA,POR_POBREZA_ING,POR_POBREZA_ING_EXTR,MARGINACION,REZAGO_SOCIAL_1,IMN_num,REZAGO_SOCIAL_NUM,TASA_HOSPITALIZADOS,TASA_MORTALIDAD,TASA_CASOS
CIUDAD DE MEXICO,AZCAPOTZALCO,432205,47.42,70366,16.28,306611,70.94,54863,12.69,3332.31,0.0,1.68,24.19,2.47,Muy bajo,Muy bajo,0.95,-1.39,751.03,364.41,4825.72
CIUDAD DE MEXICO,COYOACAN,614447,47.05,91327,14.86,432544,70.4,90448,14.72,5362.23,0.0,2.5,27.08,2.95,Muy bajo,Muy bajo,0.95,-1.45,549.11,258.28,3831.25
CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,217686,47.84,45307,20.81,155503,71.43,16760,7.7,7107.11,2.27,1.85,32.48,4.45,Muy bajo,Muy bajo,0.95,-1.28,363.37,172.73,3860.61
CIUDAD DE MEXICO,GUSTAVO A. MADERO,1173351,48.06,212345,18.1,819397,69.83,141375,12.05,8737.83,0.0,2.82,33.78,3.69,Muy bajo,Muy bajo,0.94,-1.3,593.77,320.19,3700.51
CIUDAD DE MEXICO,IZTACALCO,404695,47.53,69312,17.13,286131,70.7,49074,12.13,2296.28,0.0,2.49,25.2,2.61,Muy bajo,Muy bajo,0.95,-1.39,721.78,385.97,3906.4
CIUDAD DE MEXICO,IZTAPALAPA,1835486,48.36,366835,19.99,1293944,70.5,174312,9.5,11252.81,0.0,3.98,43.89,6.56,Muy bajo,Muy bajo,0.93,-1.24,491.31,259.66,2989.34
CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,247622,47.77,47378,19.13,174135,70.32,26066,10.53,6307.48,0.48,2.74,42.5,6.71,Muy bajo,Muy bajo,0.93,-1.26,382.03,205.56,5113.84
CIUDAD DE MEXICO,MILPA ALTA,152685,48.71,36311,23.78,105619,69.17,10741,7.03,29672.89,24.41,8.52,54.69,9.15,Muy bajo,Muy bajo,0.9,-0.85,290.79,136.88,5149.82
CIUDAD DE MEXICO,ALVARO OBREGON,759137,47.55,136052,17.92,538449,70.93,83813,11.04,9535.83,0.02,2.43,37.69,5.64,Muy bajo,Muy bajo,0.95,-1.32,507.95,256.21,5391.65
CIUDAD DE MEXICO,TLAHUAC,392313,48.48,84051,21.42,278514,70.99,29603,7.55,8538.33,3.81,3.36,42.41,5.11,Muy bajo,Muy bajo,0.93,-1.18,364.0,170.53,5018.7
CIUDAD DE MEXICO,TLALPAN,699928,47.84,129152,18.45,496189,70.89,74056,10.58,31285.27,3.09,4.11,39.7,7.08,Muy bajo,Muy bajo,0.93,-1.27,424.04,175.3,5119.67
CIUDAD DE MEXICO,XOCHIMILCO,442178,48.73,89049,20.14,312227,70.61,40693,9.2,11350.43,2.87,5.85,48.19,9.3,Muy bajo,Muy bajo,0.92,-1.08,428.11,188.61,4664.86
CIUDAD DE MEXICO,BENITO JUAREZ,434153,46.56,51243,11.8,321279,74.0,61593,14.19,2654.89,0.0,1.29,7.88,0.31,Muy bajo,Muy bajo,0.98,-1.55,430.72,195.55,3172.84
CIUDAD DE MEXICO,CUAUHTEMOC,545884,47.8,83469,15.29,398058,72.92,64291,11.78,3233.52,0.0,3.38,20.89,2.45,Muy bajo,Muy bajo,0.96,-1.41,588.04,298.78,3809.23
CIUDAD DE MEXICO,MIGUEL HIDALGO,414470,47.16,62495,15.08,295866,71.38,50183,12.11,4612.19,0.0,1.48,13.47,0.93,Muy bajo,Muy bajo,0.96,-1.42,523.08,218.35,3620.53
CIUDAD DE MEXICO,VENUSTIANO CARRANZA,443704,47.36,78081,17.6,310974,70.09,54234,12.22,3366.61,0.0,2.29,29.99,2.91,Muy bajo,Muy bajo,0.95,-1.36,594.32,310.57,4370.03
