,Antofagasta,Calama,Maria Elena,Mejillones,Ollague,San Pedro de Atacama,Sierra Gorda,Taltal,Tocopilla,Desconocido Antofagasta
2020-04-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,10.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2020-04-08,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,22.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,24.0,7.0,1.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0
2020-04-15,16.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0
2020-04-17,23.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
2020-04-20,39.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,77.0,10.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,42.0,19.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,75.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-05-04,101.0,13.0,5.0,49.0,0.0,0.0,0.0,1.0,1.0,0.0
2020-05-08,122.0,18.0,12.0,8.0,0.0,0.0,2.0,0.0,1.0,0.0
2020-05-11,57.0,12.0,2.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0
2020-05-15,185.0,54.0,35.0,24.0,0.0,0.0,5.0,7.0,4.0,0.0
2020-05-18,155.0,45.0,28.0,17.0,0.0,0.0,2.0,1.0,5.0,0.0
2020-05-22,142.0,41.0,20.0,35.0,0.0,1.0,2.0,6.0,1.0,0.0
2020-05-25,103.0,48.0,15.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0
2020-05-29,152.0,113.0,7.0,17.0,0.0,3.0,0.0,1.0,2.0,0.0
2020-06-01,155.0,71.0,3.0,18.0,0.0,0.0,1.0,7.0,2.0,0.0
2020-06-05,160.0,140.0,3.0,11.0,0.0,1.0,2.0,4.0,3.0,0.0
2020-06-08,166.0,130.0,8.0,6.0,0.0,2.0,5.0,0.0,3.0,0.0
2020-06-12,230.0,382.0,4.0,1.0,0.0,3.0,5.0,4.0,6.0,0.0
2020-06-15,233.0,394.0,3.0,6.0,2.0,12.0,9.0,1.0,2.0,0.0
2020-06-19,379.0,843.0,21.0,5.0,0.0,18.0,7.0,11.0,13.0,143.0
2020-06-23,469.0,720.0,12.0,25.0,0.0,19.0,5.0,9.0,17.0,-27.0
2020-06-28,590.0,752.0,14.0,27.0,4.0,26.0,-3.0,3.0,36.0,-30.0
2020-07-01,290.0,393.0,25.0,30.0,0.0,17.0,2.0,6.0,22.0,12.0
2020-07-05,553.0,427.0,17.0,35.0,3.0,20.0,3.0,7.0,61.0,41.0
2020-07-10,643.0,498.0,11.0,18.0,3.0,23.0,5.0,9.0,29.0,5.0
2020-07-13,434.0,285.0,16.0,5.0,0.0,23.0,2.0,12.0,17.0,8.0
2020-07-17,437.0,261.0,7.0,8.0,5.0,20.0,1.0,10.0,10.0,25.0
2020-07-20,244.0,173.0,3.0,4.0,4.0,27.0,3.0,4.0,2.0,19.0
2020-07-24,365.0,192.0,5.0,8.0,0.0,16.0,0.0,7.0,8.0,12.0
2020-07-27,231.0,167.0,7.0,13.0,0.0,13.0,6.0,3.0,12.0,-9.0
2020-07-31,296.0,166.0,9.0,0.0,0.0,12.0,3.0,1.0,2.0,16.0
2020-08-03,294.0,66.0,6.0,13.0,0.0,15.0,1.0,7.0,3.0,7.0
2020-08-07,371.0,145.0,0.0,20.0,3.0,6.0,0.0,10.0,8.0,8.0
2020-08-10,361.0,81.0,5.0,7.0,0.0,10.0,4.0,0.0,2.0,4.0
2020-08-14,321.0,133.0,2.0,4.0,0.0,6.0,3.0,7.0,4.0,16.0
2020-08-17,250.0,68.0,2.0,12.0,0.0,8.0,0.0,5.0,6.0,11.0
2020-08-21,272.0,64.0,1.0,6.0,0.0,6.0,0.0,11.0,4.0,11.0
2020-08-24,224.0,72.0,1.0,11.0,0.0,10.0,0.0,2.0,9.0,8.0
2020-08-28,242.0,84.0,1.0,8.0,0.0,5.0,1.0,2.0,11.0,-9.0
2020-08-31,192.0,63.0,1.0,5.0,0.0,5.0,1.0,0.0,10.0,6.0
2020-09-04,199.0,74.0,6.0,4.0,0.0,8.0,0.0,0.0,1.0,2.0
2020-09-07,186.0,57.0,1.0,6.0,0.0,5.0,1.0,0.0,0.0,6.0
2020-09-11,213.0,46.0,0.0,9.0,0.0,2.0,1.0,5.0,2.0,2.0
2020-09-14,134.0,37.0,1.0,8.0,0.0,2.0,0.0,0.0,1.0,4.0
2020-09-18,133.0,55.0,1.0,10.0,0.0,-1.0,-1.0,2.0,1.0,0.0
2020-09-21,73.0,29.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0
2020-09-25,179.0,50.0,0.0,13.0,0.0,3.0,3.0,6.0,3.0,-3.0
2020-09-28,114.0,49.0,1.0,4.0,0.0,13.0,1.0,4.0,3.0,2.0
2020-10-02,143.0,37.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,5.0
2020-10-05,111.0,45.0,0.0,9.0,0.0,6.0,0.0,2.0,6.0,2.0
2020-10-09,142.0,32.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0
2020-10-12,142.0,20.0,0.0,6.0,0.0,2.0,4.0,2.0,3.0,5.0
2020-10-16,124.0,13.0,0.0,9.0,0.0,1.0,2.0,9.0,0.0,3.0
2020-10-19,127.0,9.0,5.0,7.0,0.0,2.0,0.0,3.0,1.0,1.0
2020-10-24,186.0,27.0,0.0,13.0,0.0,3.0,1.0,2.0,5.0,1.0
2020-10-26,76.0,11.0,2.0,-1.0,0.0,1.0,0.0,1.0,2.0,0.0
2020-10-30,132.0,30.0,1.0,8.0,0.0,1.0,0.0,0.0,8.0,1.0
2020-11-02,94.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,2.0
2020-11-06,88.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-11-09,102.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0
2020-11-13,100.0,21.0,0.0,3.0,0.0,1.0,0.0,7.0,2.0,16.0
2020-11-16,72.0,19.0,1.0,6.0,0.0,0.0,0.0,5.0,1.0,2.0
2020-11-20,54.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0
2020-11-23,52.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0
2020-11-27,58.0,20.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,-1.0
2020-11-30,56.0,16.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-12-04,38.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-12-07,67.0,12.0,1.0,10.0,0.0,2.0,0.0,2.0,2.0,2.0
2020-12-11,93.0,10.0,1.0,8.0,0.0,0.0,0.0,1.0,7.0,-1.0
2020-12-14,122.0,14.0,1.0,20.0,0.0,-1.0,2.0,7.0,3.0,1.0
2020-12-18,157.0,13.0,7.0,12.0,0.0,0.0,4.0,5.0,6.0,5.0
2020-12-21,147.0,26.0,2.0,7.0,1.0,0.0,3.0,3.0,9.0,-2.0
2020-12-25,227.0,14.0,1.0,24.0,3.0,0.0,0.0,11.0,9.0,3.0
2020-12-28,150.0,16.0,1.0,11.0,0.0,1.0,0.0,2.0,3.0,1.0
2021-01-01,337.0,34.0,2.0,8.0,0.0,2.0,1.0,9.0,7.0,3.0
