,Arica,Camarones,General Lagos,Putre,Desconocido Arica y Parinacota
2020-04-01,0.0,0.0,0.0,0.0,0.0
2020-04-03,6.0,0.0,0.0,0.0,0.0
2020-04-06,29.0,0.0,0.0,0.0,0.0
2020-04-08,22.0,0.0,0.0,0.0,0.0
2020-04-10,24.0,0.0,0.0,0.0,0.0
2020-04-13,28.0,0.0,0.0,0.0,0.0
2020-04-15,9.0,0.0,0.0,0.0,0.0
2020-04-17,10.0,0.0,0.0,0.0,0.0
2020-04-20,32.0,0.0,0.0,0.0,0.0
2020-04-24,58.0,0.0,0.0,0.0,0.0
2020-04-27,46.0,0.0,0.0,0.0,0.0
2020-05-01,27.0,0.0,0.0,0.0,0.0
2020-05-04,13.0,0.0,0.0,0.0,0.0
2020-05-08,18.0,0.0,0.0,0.0,0.0
2020-05-11,25.0,0.0,0.0,0.0,0.0
2020-05-15,18.0,0.0,0.0,0.0,0.0
2020-05-18,34.0,0.0,0.0,0.0,0.0
2020-05-22,72.0,0.0,0.0,0.0,0.0
2020-05-25,48.0,0.0,0.0,0.0,0.0
2020-05-29,71.0,0.0,0.0,0.0,0.0
2020-06-01,57.0,0.0,0.0,0.0,0.0
2020-06-05,153.0,0.0,0.0,0.0,0.0
2020-06-08,98.0,0.0,0.0,1.0,0.0
2020-06-12,142.0,0.0,0.0,1.0,0.0
2020-06-15,130.0,0.0,0.0,1.0,0.0
2020-06-19,195.0,0.0,0.0,6.0,2.0
2020-06-23,162.0,0.0,0.0,1.0,-1.0
2020-06-28,225.0,0.0,0.0,1.0,2.0
2020-07-01,129.0,0.0,0.0,0.0,-2.0
2020-07-05,252.0,0.0,0.0,0.0,2.0
2020-07-10,325.0,0.0,0.0,15.0,0.0
2020-07-13,257.0,8.0,0.0,2.0,0.0
2020-07-17,402.0,5.0,0.0,0.0,2.0
2020-07-20,249.0,0.0,0.0,2.0,0.0
2020-07-24,510.0,0.0,1.0,6.0,1.0
2020-07-27,329.0,2.0,0.0,1.0,0.0
2020-07-31,425.0,1.0,0.0,2.0,1.0
2020-08-03,238.0,5.0,0.0,1.0,4.0
2020-08-07,346.0,2.0,1.0,10.0,2.0
2020-08-10,323.0,0.0,4.0,5.0,5.0
2020-08-14,364.0,1.0,9.0,1.0,1.0
2020-08-17,224.0,1.0,33.0,-1.0,4.0
2020-08-21,243.0,0.0,11.0,-7.0,2.0
2020-08-24,203.0,2.0,3.0,1.0,0.0
2020-08-28,206.0,-2.0,0.0,1.0,-2.0
2020-08-31,186.0,1.0,0.0,1.0,0.0
2020-09-04,203.0,0.0,0.0,3.0,1.0
2020-09-07,172.0,0.0,1.0,3.0,0.0
2020-09-11,159.0,0.0,0.0,2.0,2.0
2020-09-14,143.0,0.0,1.0,1.0,2.0
2020-09-18,173.0,0.0,0.0,2.0,-1.0
2020-09-21,129.0,1.0,0.0,0.0,1.0
2020-09-25,186.0,0.0,0.0,1.0,4.0
2020-09-28,198.0,0.0,0.0,4.0,2.0
2020-10-02,265.0,0.0,0.0,0.0,3.0
