,Alto del Carmen,Caldera,Chanaral,Copiapo,Diego de Almagro,Freirina,Huasco,Tierra Amarilla,Vallenar,Desconocido Atacama
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0
2020-04-13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,7.0,0.0
2020-04-27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0
2020-05-01,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,4.0,0.0
2020-05-04,0.0,1.0,0.0,15.0,1.0,0.0,1.0,2.0,7.0,0.0
2020-05-08,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0
2020-05-11,0.0,2.0,0.0,19.0,1.0,0.0,0.0,10.0,13.0,0.0
2020-05-15,0.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0
2020-05-18,0.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0
2020-05-22,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,3.0,0.0
2020-05-25,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0
2020-05-29,0.0,1.0,1.0,15.0,4.0,0.0,0.0,1.0,2.0,0.0
2020-06-01,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,6.0,0.0
2020-06-05,1.0,2.0,0.0,25.0,1.0,0.0,1.0,1.0,9.0,0.0
2020-06-08,1.0,1.0,0.0,47.0,2.0,0.0,3.0,1.0,15.0,0.0
2020-06-12,0.0,3.0,2.0,52.0,4.0,1.0,3.0,4.0,4.0,0.0
2020-06-15,2.0,1.0,0.0,38.0,6.0,0.0,1.0,5.0,16.0,0.0
2020-06-19,1.0,4.0,3.0,100.0,6.0,2.0,2.0,7.0,38.0,7.0
2020-06-23,1.0,2.0,14.0,77.0,4.0,4.0,4.0,15.0,43.0,-4.0
2020-06-28,0.0,6.0,2.0,129.0,1.0,8.0,2.0,10.0,47.0,6.0
2020-07-01,0.0,14.0,2.0,67.0,1.0,0.0,4.0,2.0,34.0,17.0
2020-07-05,1.0,6.0,0.0,98.0,1.0,9.0,0.0,3.0,46.0,-16.0
2020-07-10,1.0,2.0,2.0,124.0,11.0,8.0,4.0,13.0,45.0,2.0
2020-07-13,1.0,2.0,3.0,99.0,0.0,-2.0,0.0,14.0,32.0,0.0
2020-07-17,1.0,3.0,9.0,68.0,1.0,15.0,1.0,7.0,10.0,1.0
2020-07-20,0.0,6.0,0.0,112.0,-1.0,0.0,0.0,10.0,23.0,1.0
2020-07-24,0.0,11.0,1.0,164.0,3.0,3.0,0.0,9.0,24.0,0.0
2020-07-27,1.0,7.0,7.0,197.0,1.0,1.0,3.0,20.0,9.0,1.0
2020-07-31,0.0,4.0,3.0,293.0,1.0,5.0,3.0,16.0,10.0,3.0
2020-08-03,0.0,7.0,4.0,257.0,0.0,1.0,2.0,30.0,23.0,0.0
2020-08-07,0.0,18.0,6.0,328.0,3.0,4.0,2.0,22.0,10.0,0.0
2020-08-10,0.0,20.0,7.0,384.0,1.0,8.0,3.0,29.0,28.0,0.0
2020-08-14,5.0,39.0,10.0,333.0,10.0,15.0,2.0,19.0,21.0,1.0
2020-08-17,13.0,26.0,5.0,235.0,22.0,13.0,7.0,17.0,33.0,12.0
2020-08-21,6.0,8.0,6.0,184.0,24.0,18.0,8.0,15.0,35.0,0.0
2020-08-24,0.0,34.0,2.0,176.0,12.0,5.0,6.0,17.0,24.0,2.0
2020-08-28,1.0,18.0,2.0,128.0,13.0,4.0,12.0,4.0,29.0,2.0
2020-08-31,0.0,11.0,15.0,85.0,17.0,7.0,2.0,14.0,31.0,1.0
2020-09-04,0.0,6.0,20.0,20.0,23.0,0.0,2.0,9.0,63.0,-1.0
2020-09-07,0.0,1.0,14.0,49.0,0.0,0.0,9.0,1.0,44.0,1.0
2020-09-11,0.0,0.0,27.0,66.0,7.0,9.0,14.0,6.0,75.0,0.0
2020-09-14,0.0,3.0,7.0,76.0,1.0,1.0,10.0,2.0,32.0,1.0
2020-09-18,0.0,6.0,5.0,97.0,8.0,7.0,8.0,-1.0,42.0,0.0
2020-09-21,2.0,11.0,8.0,51.0,0.0,2.0,11.0,2.0,84.0,0.0
2020-09-25,1.0,8.0,0.0,35.0,9.0,2.0,16.0,1.0,79.0,1.0
2020-09-28,1.0,3.0,2.0,32.0,16.0,4.0,12.0,6.0,89.0,0.0
2020-10-02,1.0,0.0,0.0,49.0,16.0,19.0,7.0,7.0,52.0,1.0
2020-10-05,0.0,0.0,0.0,28.0,7.0,3.0,8.0,1.0,34.0,1.0
2020-10-09,1.0,3.0,1.0,49.0,20.0,11.0,2.0,10.0,42.0,-1.0
2020-10-12,0.0,4.0,0.0,31.0,20.0,2.0,9.0,21.0,30.0,0.0
2020-10-16,0.0,2.0,0.0,47.0,15.0,2.0,4.0,6.0,10.0,0.0
2020-10-19,0.0,1.0,0.0,49.0,15.0,0.0,5.0,9.0,27.0,1.0
2020-10-24,0.0,4.0,1.0,66.0,12.0,2.0,6.0,2.0,11.0,0.0
2020-10-26,0.0,0.0,0.0,29.0,8.0,0.0,3.0,4.0,9.0,0.0
2020-10-30,0.0,5.0,1.0,45.0,10.0,1.0,3.0,2.0,17.0,0.0
2020-11-02,0.0,1.0,0.0,13.0,6.0,0.0,16.0,1.0,6.0,1.0
2020-11-06,0.0,4.0,0.0,12.0,2.0,-1.0,1.0,0.0,3.0,0.0
2020-11-09,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,10.0,1.0
2020-11-13,0.0,1.0,0.0,6.0,1.0,0.0,8.0,4.0,13.0,1.0
2020-11-16,0.0,0.0,3.0,9.0,1.0,0.0,4.0,2.0,6.0,0.0
2020-11-20,0.0,0.0,1.0,11.0,6.0,1.0,5.0,1.0,25.0,0.0
2020-11-23,0.0,5.0,0.0,3.0,2.0,0.0,19.0,3.0,11.0,1.0
2020-11-27,1.0,0.0,0.0,8.0,1.0,2.0,16.0,3.0,12.0,0.0
