dates,Alto_Biobio,Antuco,Arauco,Cabrero,Canete,Chiguayante,Concepcion,Contulmo,Coronel,Curanilahue,Florida,Hualpen,Hualqui,Laja,Lebu,Los_Alamos,Los_Angeles,Lota,Mulchen,Nacimiento,Negrete,Penco,Quilaco,Quilleco,San_Pedro_de_la_Paz,San_Rosendo,Santa_Barbara,Santa_Juana,Talcahuano,Tirua,Tome,Tucapel,Yumbel
2020-03-30,0,0,0,0,0,0.313351925547582,0.560007616103579,0,0,0,0,0,0,0,0,0,0.239713302889744,0,0,0,0,0,0,0,0.587462377930213,0,0,0,0,0,0.324330723281838,0,1.07579630442454
2020-03-31,0,0,0.369340321252211,0,0,0.626703851095165,0.760010336140571,0,0.264909784972727,0,0,1.02803450083785,0,0,0,0,0.283297539778788,0,0.460220813946532,0,0,0,0,0,1.17492475586043,0,0,0,0.390948636867359,0,0.405413404102297,0,1.07579630442454
2020-04-01,0,0,0.615567202087019,0,0,0.940055776642747,0.940012784173865,0,0.416286804957143,0,0,1.90920693012743,0,0,0,0,0.326881776667833,0,0.767034689910886,0,0,0,0,0,1.63183993869504,0,0,0,0.691678357534558,0,0.486496084922757,0,1.07579630442454
2020-04-02,0,0,0.738680642504423,0,0,1.14895706034114,1.00001360018496,0,0.454131059953247,0,0,2.25188509707338,0,0,0,0,0.348673895112355,0,0.767034689910886,0,0,0,0,0,1.79502393256454,0,0,0,0.811970245801437,0,0.567578765743216,0,1.07579630442454
2020-04-03,0,0,0.738680642504423,0,0,1.35785834403952,1.06001441619606,0,0.454131059953247,0,0,2.44770119247107,0,0,0,0,0.348673895112355,0,0.767034689910886,0,0,0,0,0,1.82766073133844,0,0,0,0.872116189934877,0,0.729744127384135,0,1.07579630442454
2020-04-04,0,0,0.738680642504423,0,0,1.46230898588872,1.18001604821826,0,0.454131059953247,0,0,2.74142533556759,0.363490306622248,0.199468217731528,0,0,0.348673895112355,0,0.767034689910886,0,0,0.0954959342605989,0,0,1.89293432888624,0,0,0,0.932262134068317,0.432153985107974,1.13515753148643,0,1.07579630442454
2020-04-05,0,0,0.738680642504423,0,0,1.56675962773791,1.30001768024045,0,0.454131059953247,0,0,3.03514947866412,0.90872576655562,0.797872870926111,0,0,0.348673895112355,0,0.767034689910886,0,0,0.381983737042395,0,0,1.95820792643404,0,0,0,0.992408078201756,1.29646195532392,1.62165361640919,0,1.07579630442454
2020-04-06,0,0,0.738680642504423,0,0,1.67121026958711,1.40001904025895,0,0.491975314949351,0,0,3.27991959791123,1.27221607317787,0.997341088657639,0,0,0.370466013556877,0,0.767034689910886,0,0,0.477479671302994,0,0,2.05611832275575,0,0,0,1.08262699440192,1.72861594043189,2.02706702051149,0,1.07579630442454
2020-04-07,0,0,0.738680642504423,0,0,1.7234355905117,1.44001958426635,0,0.605508079937663,0,0,3.47573569330891,1.27221607317787,0.997341088657639,0,0,0.435842368890443,0,0.767034689910886,0.340817689801371,0,0.477479671302994,0,0,2.18666551785135,0,0,0,1.23299185473552,1.72861594043189,2.27031506297286,0,1.07579630442454
2020-04-08,0,0,0.738680642504423,0,0,1.8278862323609,1.46001985627005,0,0.681196589929871,0,0,3.62259776485718,1.27221607317787,0.997341088657639,0,0,0.479426605779488,0,0.767034689910886,0.681635379602743,0,0.477479671302994,0,0,2.31721271294695,0,0,0,1.3532837430024,1.72861594043189,2.43248042461378,0,1.07579630442454
2020-04-09,0,0,0.738680642504423,0.309969390522686,0,1.98456219513469,1.54002094428484,0,0.681196589929871,0,0,3.86736788410429,1.27221607317787,0.997341088657639,0,0,0.479426605779488,0,0.767034689910886,0.852044224503429,0,0.477479671302994,0,0,2.34984951172085,0,0,0,1.38335671506912,1.72861594043189,2.43248042461378,0,1.07579630442454
2020-04-10,0,0,0.738680642504423,0.619938781045372,0,2.08901283698388,1.62002203229964,0,0.681196589929871,0,0,4.06318397950197,1.27221607317787,0.997341088657639,0,0,0.479426605779488,0,0.767034689910886,0.852044224503429,0,0.477479671302994,0,0,2.38248631049475,0,0,0,1.38335671506912,1.72861594043189,2.43248042461378,0,1.07579630442454
2020-04-11,0,0,0.738680642504423,0.774923476306715,0,2.14123815790848,1.66002257630704,0,0.681196589929871,0,0,4.25900007489966,1.27221607317787,0.997341088657639,0,0,0.479426605779488,0,0.767034689910886,1.02245306940411,0.45660224009059,0.572975605563593,0,0,2.44775990804256,0,0,0,1.41342968713584,1.72861594043189,2.5946457862547,0,1.07579630442454
2020-04-12,0,0,0.738680642504423,0.929908171568058,0,2.14123815790848,1.70002312031444,0,0.681196589929871,0.140502323908437,0.402153936483807,4.40586214644792,1.45396122648899,1.19680930638917,0,0,0.479426605779488,0.104085349986989,0.767034689910886,1.36327075920549,0.45660224009059,0.668471539824192,0,0,2.54567030436426,0,0.326336675020886,0,1.50364860333599,1.72861594043189,2.83789382871608,0.313180188221293,1.07579630442454
