,Andacollo,Canela,Combarbala,Coquimbo,Illapel,La Higuera,La Serena,Los Vilos,Monte Patria,Ovalle,Paiguano,Punitaqui,Rio Hurtado,Salamanca,Vicuna,Desconocido Coquimbo
2020-04-01,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0
2020-04-08,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-04-13,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-04-15,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-04-20,0.0,0.0,0.0,3.0,-1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-04-27,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-04,2.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
2020-05-08,1.0,1.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0
2020-05-11,0.0,0.0,2.0,3.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,3.0,0.0,1.0,1.0,0.0
2020-05-15,0.0,0.0,0.0,11.0,0.0,0.0,17.0,0.0,3.0,11.0,0.0,0.0,1.0,2.0,3.0,0.0
2020-05-18,0.0,0.0,3.0,7.0,0.0,0.0,6.0,0.0,1.0,13.0,0.0,0.0,0.0,-2.0,2.0,0.0
2020-05-22,1.0,1.0,1.0,11.0,0.0,0.0,26.0,0.0,13.0,11.0,0.0,2.0,0.0,1.0,3.0,0.0
2020-05-25,0.0,0.0,1.0,7.0,0.0,0.0,28.0,0.0,3.0,11.0,0.0,1.0,0.0,1.0,2.0,0.0
2020-05-29,9.0,0.0,2.0,118.0,2.0,0.0,28.0,0.0,9.0,27.0,0.0,2.0,0.0,2.0,2.0,0.0
2020-06-01,0.0,0.0,5.0,10.0,4.0,1.0,41.0,3.0,14.0,40.0,2.0,1.0,3.0,5.0,0.0,0.0
2020-06-05,4.0,1.0,0.0,79.0,6.0,1.0,19.0,2.0,12.0,34.0,1.0,3.0,2.0,3.0,3.0,0.0
2020-06-08,2.0,1.0,6.0,82.0,12.0,-1.0,55.0,2.0,13.0,86.0,1.0,9.0,3.0,15.0,2.0,0.0
2020-06-12,6.0,2.0,0.0,107.0,10.0,2.0,90.0,3.0,14.0,72.0,0.0,5.0,3.0,5.0,2.0,0.0
2020-06-15,0.0,0.0,0.0,73.0,2.0,0.0,69.0,2.0,18.0,73.0,1.0,2.0,1.0,2.0,2.0,0.0
2020-06-19,1.0,0.0,8.0,145.0,17.0,2.0,124.0,6.0,26.0,186.0,4.0,5.0,2.0,5.0,4.0,112.0
2020-06-23,5.0,1.0,3.0,116.0,18.0,0.0,135.0,5.0,30.0,124.0,-2.0,4.0,2.0,6.0,4.0,11.0
2020-06-28,6.0,5.0,-2.0,167.0,13.0,-1.0,135.0,15.0,21.0,102.0,0.0,7.0,-1.0,1.0,3.0,-3.0
2020-07-01,1.0,2.0,1.0,73.0,25.0,-1.0,61.0,12.0,14.0,49.0,0.0,2.0,0.0,0.0,0.0,33.0
2020-07-05,2.0,2.0,0.0,114.0,17.0,2.0,140.0,12.0,15.0,51.0,0.0,1.0,2.0,1.0,3.0,-13.0
2020-07-10,1.0,3.0,0.0,200.0,59.0,5.0,162.0,4.0,13.0,68.0,0.0,11.0,3.0,7.0,11.0,19.0
2020-07-13,0.0,0.0,1.0,123.0,8.0,-1.0,85.0,7.0,10.0,64.0,1.0,1.0,0.0,4.0,2.0,0.0
2020-07-17,4.0,1.0,0.0,127.0,10.0,4.0,186.0,3.0,9.0,19.0,0.0,0.0,0.0,5.0,11.0,-16.0
2020-07-20,4.0,0.0,1.0,171.0,17.0,7.0,128.0,2.0,10.0,28.0,1.0,12.0,1.0,8.0,37.0,-4.0
2020-07-24,2.0,1.0,0.0,238.0,6.0,14.0,134.0,8.0,4.0,54.0,0.0,5.0,2.0,5.0,18.0,13.0
2020-07-27,0.0,3.0,1.0,193.0,10.0,12.0,166.0,21.0,3.0,22.0,0.0,6.0,1.0,25.0,6.0,-8.0
2020-07-31,0.0,1.0,1.0,214.0,24.0,13.0,196.0,13.0,8.0,51.0,2.0,2.0,3.0,16.0,2.0,-8.0
2020-08-03,2.0,1.0,1.0,131.0,10.0,5.0,109.0,3.0,5.0,29.0,0.0,1.0,0.0,9.0,6.0,1.0
2020-08-07,4.0,2.0,2.0,180.0,18.0,7.0,189.0,12.0,10.0,79.0,1.0,3.0,1.0,18.0,12.0,0.0
2020-08-10,2.0,0.0,1.0,193.0,20.0,14.0,145.0,2.0,7.0,45.0,0.0,1.0,2.0,2.0,14.0,-3.0
2020-08-14,3.0,9.0,1.0,178.0,15.0,6.0,155.0,24.0,22.0,93.0,0.0,12.0,4.0,4.0,1.0,6.0
2020-08-17,2.0,5.0,2.0,166.0,11.0,1.0,84.0,11.0,13.0,146.0,0.0,5.0,5.0,8.0,11.0,2.0
2020-08-21,7.0,15.0,9.0,191.0,13.0,0.0,126.0,13.0,24.0,100.0,0.0,13.0,-1.0,11.0,2.0,1.0
2020-08-24,6.0,5.0,6.0,177.0,22.0,3.0,109.0,19.0,18.0,143.0,5.0,16.0,0.0,4.0,16.0,-2.0
2020-08-28,8.0,9.0,9.0,214.0,10.0,3.0,96.0,19.0,37.0,140.0,0.0,1.0,1.0,4.0,10.0,0.0
2020-08-31,8.0,1.0,4.0,144.0,5.0,0.0,64.0,3.0,20.0,69.0,0.0,5.0,0.0,5.0,6.0,-2.0
2020-09-04,9.0,6.0,-1.0,108.0,8.0,1.0,140.0,12.0,7.0,114.0,3.0,5.0,1.0,6.0,20.0,1.0
2020-09-07,8.0,0.0,1.0,98.0,8.0,0.0,81.0,7.0,14.0,72.0,0.0,6.0,1.0,8.0,18.0,0.0
2020-09-11,17.0,4.0,3.0,90.0,7.0,0.0,102.0,17.0,18.0,91.0,2.0,5.0,1.0,8.0,18.0,1.0
2020-09-14,12.0,2.0,1.0,103.0,11.0,1.0,75.0,13.0,13.0,80.0,0.0,9.0,2.0,10.0,9.0,0.0
2020-09-18,8.0,0.0,3.0,79.0,10.0,3.0,59.0,7.0,17.0,79.0,3.0,19.0,1.0,1.0,15.0,2.0
2020-09-21,6.0,5.0,4.0,39.0,3.0,0.0,31.0,5.0,5.0,29.0,2.0,0.0,1.0,2.0,8.0,-2.0
2020-09-25,11.0,5.0,1.0,63.0,11.0,0.0,31.0,8.0,2.0,53.0,4.0,1.0,0.0,3.0,11.0,3.0
2020-09-28,4.0,6.0,2.0,71.0,24.0,1.0,28.0,2.0,11.0,55.0,7.0,4.0,0.0,11.0,9.0,3.0
2020-10-02,4.0,6.0,3.0,67.0,6.0,0.0,31.0,14.0,5.0,42.0,2.0,2.0,0.0,7.0,3.0,1.0
2020-10-05,9.0,0.0,1.0,45.0,13.0,0.0,39.0,6.0,2.0,22.0,2.0,4.0,0.0,0.0,4.0,-3.0
2020-10-09,5.0,0.0,3.0,36.0,3.0,0.0,56.0,4.0,10.0,23.0,0.0,-1.0,0.0,1.0,3.0,0.0
2020-10-12,3.0,1.0,1.0,27.0,5.0,0.0,21.0,5.0,1.0,13.0,0.0,0.0,0.0,2.0,0.0,1.0
2020-10-16,1.0,2.0,1.0,40.0,3.0,0.0,45.0,4.0,3.0,18.0,0.0,1.0,0.0,3.0,7.0,2.0
2020-10-19,2.0,0.0,2.0,19.0,4.0,0.0,20.0,1.0,2.0,14.0,0.0,4.0,1.0,2.0,-2.0,0.0
2020-10-24,0.0,3.0,5.0,37.0,5.0,0.0,37.0,3.0,4.0,21.0,1.0,6.0,0.0,4.0,1.0,1.0
2020-10-26,1.0,0.0,0.0,10.0,2.0,0.0,9.0,2.0,4.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0
2020-10-30,1.0,1.0,3.0,32.0,2.0,0.0,28.0,5.0,6.0,5.0,0.0,1.0,0.0,3.0,0.0,-3.0
2020-11-02,0.0,2.0,0.0,21.0,2.0,0.0,11.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0
2020-11-06,0.0,0.0,0.0,18.0,1.0,0.0,23.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0
2020-11-09,0.0,0.0,0.0,10.0,1.0,0.0,6.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0
2020-11-13,0.0,0.0,0.0,17.0,-1.0,0.0,16.0,1.0,2.0,10.0,0.0,4.0,0.0,3.0,2.0,1.0
2020-11-16,1.0,0.0,1.0,8.0,0.0,0.0,5.0,0.0,3.0,9.0,0.0,6.0,0.0,0.0,3.0,-1.0
2020-11-20,0.0,0.0,2.0,20.0,1.0,0.0,9.0,1.0,0.0,29.0,0.0,1.0,0.0,0.0,5.0,0.0
2020-11-23,0.0,0.0,2.0,20.0,0.0,0.0,21.0,-1.0,1.0,29.0,0.0,3.0,0.0,1.0,1.0,2.0
2020-11-27,1.0,0.0,2.0,23.0,3.0,0.0,26.0,1.0,12.0,34.0,1.0,4.0,0.0,2.0,4.0,5.0
2020-11-30,1.0,0.0,18.0,35.0,1.0,0.0,17.0,0.0,2.0,32.0,0.0,6.0,2.0,1.0,0.0,-2.0
2020-12-04,0.0,0.0,4.0,17.0,0.0,0.0,18.0,5.0,1.0,44.0,0.0,4.0,0.0,1.0,2.0,-2.0
2020-12-07,0.0,1.0,2.0,23.0,1.0,0.0,25.0,0.0,9.0,80.0,0.0,9.0,1.0,1.0,0.0,1.0
