,Angol,Carahue,Cholchol,Collipulli,Cunco,Curacautin,Curarrehue,Ercilla,Freire,Galvarino,Gorbea,Lautaro,Loncoche,Lonquimay,Los Sauces,Lumaco,Melipeuco,Nueva Imperial,Padre Las Casas,Perquenco,Pitrufquen,Pucon,Puren,Renaico,Saavedra,Temuco,Teodoro Schmidt,Tolten,Traiguen,Victoria,Vilcun,Villarrica,Desconocido Araucania
2020-04-01,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,71.0,4.0,0.0,0.0,2.0,1.0,4.0,0.0
2020-04-03,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,11.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,68.0,-4.0,4.0,0.0,4.0,6.0,2.0,0.0
2020-04-06,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,4.0,4.0,0.0,0.0,0.0,72.0,0.0,1.0,0.0,1.0,7.0,5.0,0.0
2020-04-08,8.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,42.0,0.0,2.0,0.0,3.0,2.0,4.0,0.0
2020-04-10,1.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,4.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,2.0,2.0,1.0,28.0,1.0,0.0,2.0,0.0,4.0,3.0,0.0
2020-04-15,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,2.0,1.0,0.0,0.0,-1.0,35.0,0.0,-1.0,0.0,-2.0,3.0,1.0,0.0
2020-04-17,2.0,2.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,-1.0,4.0,0.0,0.0,1.0,41.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0
2020-04-20,13.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,2.0,2.0,1.0,0.0,1.0,7.0,58.0,0.0,0.0,1.0,15.0,8.0,1.0,0.0
2020-04-24,24.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,7.0,0.0,0.0,1.0,0.0,1.0,7.0,39.0,1.0,0.0,0.0,27.0,2.0,1.0,0.0
2020-04-27,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-05-01,26.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,5.0,0.0,3.0,11.0,-1.0,1.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,-1.0,12.0,5.0,1.0,0.0
2020-05-04,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-05-08,2.0,1.0,-2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,2.0,5.0,0.0,1.0,0.0,-6.0,1.0,0.0,-2.0,2.0,2.0,7.0,9.0,28.0,-1.0,2.0,0.0,7.0,3.0,1.0,0.0
2020-05-11,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,23.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-05-15,4.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,1.0,0.0,2.0,15.0,18.0,0.0,0.0,1.0,2.0,8.0,-1.0,0.0
2020-05-18,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,2.0,7.0,30.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
2020-05-22,3.0,3.0,1.0,5.0,13.0,0.0,0.0,0.0,3.0,-1.0,2.0,1.0,1.0,24.0,0.0,1.0,0.0,0.0,8.0,0.0,5.0,1.0,0.0,3.0,6.0,11.0,2.0,0.0,3.0,1.0,3.0,0.0,0.0
2020-05-25,11.0,6.0,0.0,8.0,6.0,0.0,0.0,0.0,11.0,1.0,1.0,5.0,0.0,5.0,0.0,0.0,3.0,1.0,8.0,0.0,8.0,5.0,0.0,2.0,2.0,19.0,-1.0,6.0,1.0,3.0,7.0,1.0,0.0
2020-05-29,11.0,5.0,0.0,6.0,3.0,0.0,0.0,0.0,17.0,4.0,1.0,5.0,14.0,1.0,1.0,0.0,2.0,1.0,8.0,0.0,8.0,3.0,1.0,1.0,2.0,12.0,2.0,1.0,0.0,6.0,13.0,2.0,0.0
2020-06-01,8.0,3.0,1.0,3.0,0.0,1.0,0.0,5.0,9.0,9.0,1.0,12.0,6.0,0.0,0.0,3.0,0.0,1.0,11.0,0.0,6.0,9.0,1.0,3.0,3.0,6.0,2.0,1.0,0.0,3.0,8.0,6.0,0.0
2020-06-05,15.0,10.0,9.0,1.0,2.0,0.0,0.0,0.0,7.0,30.0,0.0,11.0,5.0,1.0,2.0,3.0,3.0,1.0,9.0,6.0,11.0,14.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,20.0,1.0,2.0,0.0
2020-06-08,13.0,6.0,6.0,4.0,8.0,0.0,0.0,0.0,8.0,14.0,5.0,5.0,0.0,2.0,2.0,0.0,0.0,8.0,2.0,0.0,5.0,2.0,0.0,1.0,4.0,11.0,0.0,0.0,4.0,7.0,4.0,2.0,0.0
2020-06-12,41.0,-1.0,2.0,4.0,6.0,2.0,0.0,0.0,9.0,26.0,5.0,5.0,3.0,2.0,1.0,0.0,0.0,16.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,8.0,0.0,0.0,3.0,14.0,4.0,6.0,0.0
