,Corral,Futrono,La Union,Lago Ranco,Lanco,Los Lagos,Mafil,Mariquina,Paillaco,Panguipulli,Rio Bueno,Valdivia,Desconocido Los Rios
2020-04-01,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
2020-04-03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2020-04-06,0.0,5.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,18.0,0.0
2020-04-08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
2020-04-13,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,6.0,0.0
2020-04-15,1.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,-2.0,-3.0,9.0,0.0
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2020-04-20,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,4.0,0.0,0.0
2020-04-24,0.0,0.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,4.0,0.0
2020-04-27,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2020-05-01,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
2020-05-04,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,11.0,0.0
2020-05-08,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2020-05-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
2020-05-15,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
2020-05-18,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2020-05-22,0.0,8.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,22.0,0.0
2020-05-25,2.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,3.0,1.0,7.0,0.0
2020-05-29,0.0,6.0,1.0,0.0,0.0,16.0,0.0,1.0,1.0,2.0,0.0,6.0,0.0
2020-06-01,0.0,4.0,1.0,0.0,0.0,4.0,0.0,1.0,3.0,4.0,2.0,14.0,0.0
2020-06-05,0.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0
2020-06-08,5.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,2.0,7.0,0.0
2020-06-12,2.0,10.0,7.0,0.0,5.0,14.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0
2020-06-15,2.0,0.0,7.0,0.0,6.0,19.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0
2020-06-19,0.0,3.0,10.0,0.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,34.0,5.0
2020-06-23,1.0,2.0,3.0,0.0,3.0,4.0,0.0,1.0,1.0,11.0,2.0,25.0,0.0
2020-06-28,1.0,2.0,8.0,4.0,2.0,0.0,0.0,2.0,2.0,8.0,3.0,35.0,1.0
2020-07-01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,26.0,0.0
2020-07-05,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,17.0,0.0
2020-07-10,2.0,1.0,-6.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,3.0,3.0,-9.0,0.0
2020-07-13,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,13.0,0.0
2020-07-17,0.0,0.0,6.0,0.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,31.0,0.0
2020-07-20,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0
2020-07-24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,14.0,0.0
2020-07-27,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,2.0,10.0,0.0
2020-07-31,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,20.0,0.0
2020-08-03,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,9.0,0.0
2020-08-07,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,15.0,1.0
2020-08-10,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0,19.0,0.0
2020-08-14,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,28.0,0.0
2020-08-17,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,8.0,0.0
2020-08-21,0.0,0.0,-2.0,0.0,6.0,0.0,-1.0,2.0,1.0,-2.0,3.0,1.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,6.0,19.0,0.0
2020-08-28,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,6.0,15.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,11.0,1.0,6.0,1.0
2020-09-04,0.0,0.0,3.0,0.0,5.0,2.0,0.0,9.0,1.0,16.0,6.0,21.0,-1.0
2020-09-07,0.0,0.0,5.0,0.0,6.0,2.0,0.0,3.0,2.0,7.0,10.0,19.0,0.0
2020-09-11,0.0,1.0,1.0,0.0,16.0,1.0,16.0,4.0,2.0,15.0,15.0,24.0,0.0
2020-09-14,0.0,1.0,8.0,8.0,13.0,2.0,8.0,4.0,2.0,23.0,3.0,51.0,0.0
2020-09-18,0.0,2.0,3.0,1.0,12.0,0.0,3.0,-2.0,3.0,23.0,4.0,18.0,0.0
2020-09-21,1.0,0.0,8.0,1.0,5.0,2.0,1.0,0.0,2.0,24.0,7.0,18.0,0.0
2020-09-25,0.0,0.0,18.0,1.0,3.0,1.0,2.0,2.0,9.0,12.0,17.0,76.0,0.0
2020-09-28,8.0,4.0,8.0,3.0,7.0,0.0,0.0,3.0,16.0,14.0,16.0,70.0,0.0
2020-10-02,5.0,3.0,13.0,1.0,12.0,2.0,1.0,5.0,29.0,20.0,19.0,94.0,0.0
2020-10-05,3.0,3.0,10.0,0.0,10.0,2.0,3.0,6.0,3.0,18.0,11.0,63.0,0.0
2020-10-09,5.0,7.0,20.0,1.0,9.0,6.0,1.0,9.0,19.0,5.0,28.0,99.0,0.0
2020-10-12,0.0,0.0,22.0,0.0,3.0,13.0,1.0,7.0,12.0,5.0,18.0,69.0,0.0
2020-10-16,3.0,2.0,18.0,1.0,9.0,9.0,1.0,12.0,13.0,4.0,29.0,57.0,0.0
2020-10-19,4.0,4.0,19.0,9.0,9.0,9.0,1.0,15.0,11.0,5.0,16.0,76.0,0.0
2020-10-24,11.0,2.0,38.0,19.0,6.0,8.0,0.0,6.0,2.0,12.0,15.0,134.0,0.0
2020-10-26,8.0,9.0,28.0,16.0,5.0,4.0,0.0,5.0,0.0,5.0,4.0,42.0,0.0
2020-10-30,7.0,13.0,37.0,39.0,7.0,13.0,0.0,2.0,4.0,17.0,6.0,112.0,0.0
2020-11-02,0.0,21.0,61.0,26.0,7.0,20.0,1.0,2.0,9.0,9.0,8.0,142.0,0.0
2020-11-06,0.0,12.0,50.0,18.0,6.0,20.0,3.0,5.0,9.0,12.0,5.0,181.0,0.0
2020-11-09,0.0,17.0,37.0,6.0,9.0,15.0,5.0,1.0,3.0,13.0,7.0,151.0,0.0
