,Cauquenes,Chanco,Colbun,Constitucion,Curepto,Curico,Empedrado,Hualane,Licanten,Linares,Longavi,Maule,Molina,Parral,Pelarco,Pelluhue,Pencahue,Rauco,Retiro,Rio Claro,Romeral,Sagrada Familia,San Clemente,San Javier,San Rafael,Talca,Teno,Vichuquen,Villa Alegre,Yerbas Buenas,Desconocido Maule
2020-04-01,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-04-15,0.0,0.0,0.0,-1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,4.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,4.0,2.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,2.0,2.0,-1.0,0.0,4.0,7.0,0.0,0.0,1.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,3.0,5.0,0.0,42.0,1.0,0.0,1.0,1.0,0.0
2020-04-24,2.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,3.0,0.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,2.0,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,1.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,11.0,2.0,0.0,0.0,1.0,0.0
2020-05-04,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2020-05-11,1.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
2020-05-15,6.0,0.0,1.0,3.0,0.0,7.0,0.0,0.0,0.0,12.0,3.0,4.0,-1.0,2.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,7.0,2.0,25.0,1.0,0.0,1.0,2.0,0.0
2020-05-18,3.0,0.0,3.0,1.0,1.0,20.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,12.0,0.0,0.0,0.0,3.0,0.0
2020-05-22,3.0,0.0,6.0,1.0,2.0,33.0,0.0,1.0,0.0,11.0,6.0,7.0,2.0,8.0,4.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,11.0,7.0,17.0,44.0,1.0,0.0,1.0,7.0,0.0
2020-05-25,6.0,0.0,1.0,3.0,2.0,47.0,0.0,6.0,0.0,5.0,1.0,9.0,3.0,13.0,2.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,8.0,4.0,12.0,36.0,2.0,0.0,1.0,3.0,0.0
2020-05-29,12.0,0.0,12.0,2.0,-2.0,68.0,0.0,11.0,0.0,10.0,7.0,5.0,7.0,22.0,0.0,0.0,7.0,4.0,7.0,0.0,3.0,3.0,11.0,4.0,4.0,28.0,1.0,0.0,1.0,6.0,0.0
2020-06-01,19.0,1.0,1.0,2.0,1.0,48.0,0.0,3.0,0.0,9.0,4.0,2.0,3.0,16.0,2.0,0.0,0.0,2.0,6.0,2.0,14.0,0.0,5.0,5.0,3.0,18.0,0.0,0.0,0.0,4.0,0.0
2020-06-05,28.0,0.0,9.0,4.0,0.0,150.0,0.0,25.0,0.0,19.0,13.0,26.0,10.0,24.0,2.0,2.0,2.0,5.0,30.0,3.0,12.0,4.0,18.0,12.0,7.0,63.0,3.0,0.0,6.0,18.0,0.0
2020-06-08,52.0,2.0,4.0,3.0,0.0,105.0,1.0,17.0,0.0,4.0,5.0,12.0,13.0,10.0,3.0,0.0,0.0,0.0,10.0,3.0,9.0,4.0,10.0,16.0,4.0,41.0,7.0,0.0,5.0,2.0,0.0
2020-06-12,-2.0,5.0,7.0,8.0,0.0,143.0,0.0,13.0,6.0,22.0,19.0,15.0,9.0,24.0,7.0,18.0,3.0,3.0,9.0,3.0,17.0,9.0,23.0,22.0,6.0,97.0,9.0,0.0,6.0,11.0,0.0
2020-06-15,23.0,2.0,7.0,12.0,1.0,103.0,2.0,5.0,0.0,33.0,26.0,6.0,7.0,13.0,0.0,2.0,1.0,8.0,10.0,1.0,6.0,9.0,18.0,16.0,6.0,77.0,3.0,0.0,7.0,3.0,0.0
2020-06-19,52.0,4.0,24.0,19.0,1.0,218.0,4.0,21.0,5.0,62.0,43.0,35.0,21.0,29.0,1.0,15.0,5.0,7.0,22.0,2.0,28.0,6.0,29.0,44.0,8.0,155.0,23.0,0.0,12.0,25.0,59.0
2020-06-23,34.0,9.0,14.0,37.0,8.0,192.0,12.0,2.0,2.0,56.0,23.0,16.0,21.0,25.0,2.0,4.0,2.0,4.0,8.0,7.0,37.0,6.0,36.0,19.0,3.0,177.0,24.0,0.0,5.0,5.0,-28.0
2020-06-28,21.0,3.0,14.0,25.0,6.0,125.0,4.0,8.0,3.0,62.0,15.0,47.0,50.0,20.0,3.0,4.0,3.0,6.0,6.0,12.0,40.0,11.0,57.0,32.0,16.0,215.0,28.0,0.0,3.0,-2.0,19.0
2020-07-01,22.0,0.0,4.0,29.0,1.0,99.0,3.0,0.0,1.0,39.0,3.0,11.0,20.0,4.0,0.0,0.0,6.0,4.0,4.0,5.0,17.0,2.0,27.0,16.0,4.0,85.0,9.0,0.0,5.0,3.0,-7.0
2020-07-05,24.0,0.0,6.0,27.0,4.0,90.0,0.0,1.0,0.0,56.0,17.0,37.0,14.0,9.0,2.0,2.0,2.0,7.0,6.0,12.0,9.0,6.0,62.0,36.0,5.0,153.0,18.0,1.0,14.0,5.0,-4.0
2020-07-10,11.0,1.0,21.0,17.0,4.0,122.0,1.0,0.0,1.0,56.0,25.0,44.0,16.0,10.0,3.0,2.0,11.0,9.0,5.0,8.0,10.0,13.0,44.0,23.0,11.0,173.0,22.0,0.0,16.0,1.0,6.0
2020-07-13,20.0,4.0,3.0,14.0,1.0,62.0,0.0,0.0,0.0,41.0,15.0,24.0,13.0,3.0,9.0,1.0,3.0,4.0,1.0,2.0,5.0,7.0,33.0,24.0,0.0,70.0,8.0,0.0,3.0,2.0,-2.0
2020-07-17,31.0,5.0,8.0,23.0,1.0,93.0,2.0,0.0,0.0,37.0,15.0,22.0,13.0,11.0,6.0,0.0,2.0,13.0,2.0,1.0,4.0,-2.0,30.0,42.0,2.0,75.0,27.0,3.0,16.0,9.0,1.0
2020-07-20,7.0,4.0,11.0,17.0,1.0,52.0,0.0,0.0,0.0,20.0,4.0,23.0,6.0,7.0,7.0,0.0,0.0,4.0,1.0,0.0,8.0,1.0,21.0,14.0,4.0,45.0,6.0,1.0,5.0,4.0,-4.0
2020-07-24,0.0,3.0,11.0,50.0,4.0,79.0,1.0,2.0,1.0,43.0,2.0,32.0,12.0,-1.0,19.0,3.0,2.0,11.0,2.0,10.0,5.0,4.0,19.0,25.0,1.0,55.0,28.0,1.0,20.0,6.0,-4.0
2020-07-27,10.0,1.0,10.0,28.0,1.0,60.0,0.0,0.0,1.0,48.0,5.0,21.0,10.0,5.0,15.0,2.0,1.0,4.0,1.0,6.0,12.0,2.0,10.0,29.0,0.0,55.0,14.0,0.0,7.0,1.0,11.0
2020-07-31,3.0,1.0,8.0,9.0,3.0,93.0,2.0,0.0,2.0,24.0,4.0,20.0,14.0,8.0,15.0,3.0,1.0,7.0,8.0,9.0,5.0,3.0,16.0,32.0,1.0,55.0,12.0,0.0,5.0,8.0,-1.0
2020-08-03,5.0,0.0,7.0,9.0,2.0,51.0,0.0,0.0,1.0,30.0,4.0,7.0,4.0,4.0,11.0,1.0,1.0,1.0,3.0,0.0,9.0,4.0,9.0,23.0,2.0,17.0,13.0,0.0,2.0,3.0,-4.0
2020-08-07,1.0,0.0,5.0,15.0,2.0,49.0,0.0,1.0,0.0,64.0,11.0,15.0,15.0,6.0,7.0,0.0,0.0,1.0,10.0,10.0,5.0,9.0,27.0,18.0,3.0,89.0,20.0,0.0,3.0,12.0,-1.0
2020-08-10,0.0,0.0,23.0,7.0,13.0,17.0,1.0,-1.0,1.0,24.0,18.0,25.0,17.0,8.0,0.0,3.0,0.0,4.0,5.0,1.0,6.0,3.0,14.0,14.0,1.0,86.0,13.0,0.0,7.0,7.0,0.0
2020-08-14,5.0,4.0,13.0,13.0,11.0,35.0,0.0,1.0,0.0,36.0,13.0,26.0,18.0,6.0,1.0,3.0,0.0,3.0,2.0,4.0,13.0,6.0,21.0,11.0,10.0,73.0,12.0,0.0,-1.0,4.0,1.0
2020-08-17,6.0,0.0,2.0,11.0,11.0,43.0,0.0,0.0,0.0,25.0,9.0,29.0,8.0,4.0,1.0,3.0,0.0,2.0,5.0,1.0,11.0,5.0,17.0,12.0,4.0,73.0,7.0,0.0,6.0,1.0,-33.0
2020-08-21,1.0,4.0,8.0,14.0,9.0,47.0,0.0,0.0,0.0,59.0,5.0,15.0,15.0,-27.0,1.0,2.0,9.0,2.0,4.0,0.0,9.0,2.0,11.0,6.0,17.0,114.0,11.0,0.0,5.0,10.0,-3.0
2020-08-24,5.0,4.0,9.0,4.0,3.0,14.0,2.0,0.0,0.0,67.0,6.0,9.0,8.0,-2.0,0.0,11.0,3.0,1.0,1.0,3.0,1.0,6.0,21.0,6.0,11.0,62.0,4.0,0.0,7.0,12.0,-2.0
2020-08-28,7.0,3.0,12.0,15.0,7.0,22.0,1.0,1.0,0.0,54.0,12.0,26.0,19.0,10.0,5.0,6.0,5.0,2.0,3.0,3.0,0.0,4.0,20.0,8.0,10.0,85.0,16.0,0.0,7.0,-1.0,3.0
2020-08-31,3.0,1.0,4.0,8.0,13.0,37.0,1.0,1.0,2.0,43.0,17.0,8.0,18.0,6.0,2.0,1.0,9.0,1.0,5.0,4.0,0.0,5.0,12.0,12.0,3.0,63.0,7.0,0.0,6.0,3.0,-1.0
2020-09-04,7.0,2.0,11.0,7.0,1.0,41.0,1.0,0.0,0.0,42.0,11.0,24.0,44.0,22.0,0.0,0.0,11.0,1.0,21.0,11.0,1.0,3.0,33.0,20.0,4.0,102.0,18.0,0.0,5.0,3.0,1.0
2020-09-07,4.0,3.0,5.0,9.0,-1.0,18.0,0.0,1.0,0.0,47.0,43.0,26.0,50.0,16.0,2.0,2.0,1.0,0.0,14.0,1.0,0.0,1.0,52.0,15.0,4.0,92.0,10.0,0.0,1.0,5.0,0.0
2020-09-11,6.0,8.0,2.0,15.0,3.0,50.0,4.0,2.0,15.0,33.0,41.0,27.0,58.0,26.0,3.0,1.0,15.0,0.0,15.0,5.0,0.0,3.0,30.0,28.0,0.0,132.0,11.0,0.0,3.0,13.0,-1.0
2020-09-14,7.0,4.0,2.0,5.0,1.0,42.0,0.0,0.0,53.0,9.0,23.0,26.0,26.0,20.0,0.0,1.0,5.0,0.0,3.0,8.0,0.0,2.0,55.0,17.0,4.0,129.0,9.0,0.0,1.0,10.0,-1.0
2020-09-18,3.0,4.0,3.0,5.0,1.0,58.0,1.0,2.0,40.0,33.0,17.0,31.0,37.0,31.0,1.0,0.0,1.0,8.0,8.0,10.0,2.0,31.0,24.0,20.0,3.0,172.0,9.0,0.0,3.0,12.0,3.0
2020-09-21,4.0,3.0,2.0,2.0,3.0,27.0,0.0,0.0,4.0,16.0,11.0,26.0,11.0,21.0,1.0,0.0,5.0,1.0,11.0,2.0,8.0,1.0,37.0,22.0,7.0,110.0,2.0,1.0,2.0,5.0,-3.0
2020-09-25,3.0,2.0,17.0,2.0,8.0,81.0,0.0,4.0,11.0,24.0,20.0,37.0,32.0,25.0,1.0,0.0,3.0,7.0,13.0,15.0,24.0,1.0,25.0,18.0,12.0,167.0,22.0,2.0,2.0,6.0,-4.0
2020-09-28,7.0,4.0,6.0,1.0,1.0,60.0,0.0,5.0,1.0,10.0,28.0,18.0,19.0,18.0,1.0,3.0,2.0,10.0,14.0,7.0,0.0,1.0,39.0,17.0,6.0,120.0,34.0,2.0,1.0,6.0,2.0
2020-10-02,5.0,1.0,21.0,5.0,3.0,64.0,0.0,3.0,2.0,16.0,19.0,45.0,60.0,14.0,2.0,5.0,6.0,3.0,4.0,9.0,11.0,3.0,16.0,19.0,5.0,176.0,14.0,3.0,16.0,2.0,0.0
2020-10-05,1.0,8.0,8.0,1.0,1.0,55.0,0.0,2.0,2.0,14.0,12.0,21.0,9.0,15.0,1.0,0.0,4.0,5.0,19.0,4.0,-1.0,1.0,9.0,13.0,4.0,125.0,12.0,2.0,2.0,1.0,3.0
2020-10-09,5.0,6.0,9.0,0.0,3.0,66.0,0.0,0.0,0.0,9.0,12.0,36.0,25.0,19.0,1.0,7.0,2.0,2.0,9.0,3.0,1.0,1.0,5.0,22.0,5.0,148.0,11.0,0.0,5.0,1.0,-3.0
2020-10-12,4.0,1.0,3.0,12.0,2.0,59.0,0.0,1.0,1.0,14.0,13.0,25.0,11.0,18.0,0.0,0.0,0.0,8.0,5.0,6.0,2.0,2.0,9.0,18.0,0.0,145.0,10.0,1.0,3.0,17.0,0.0
2020-10-16,9.0,1.0,3.0,2.0,2.0,55.0,0.0,0.0,1.0,19.0,5.0,21.0,9.0,14.0,0.0,1.0,0.0,4.0,1.0,2.0,2.0,5.0,2.0,16.0,4.0,48.0,2.0,0.0,8.0,3.0,1.0
2020-10-19,6.0,9.0,14.0,8.0,6.0,82.0,2.0,0.0,0.0,14.0,7.0,23.0,19.0,12.0,0.0,3.0,2.0,5.0,5.0,0.0,6.0,1.0,8.0,15.0,3.0,128.0,6.0,1.0,7.0,3.0,1.0
2020-10-24,11.0,0.0,17.0,10.0,0.0,80.0,0.0,1.0,0.0,20.0,7.0,23.0,13.0,13.0,0.0,1.0,0.0,10.0,9.0,4.0,6.0,1.0,4.0,45.0,7.0,120.0,5.0,0.0,4.0,4.0,2.0
2020-10-26,8.0,0.0,7.0,6.0,1.0,53.0,0.0,0.0,-1.0,7.0,0.0,11.0,8.0,3.0,3.0,3.0,0.0,3.0,2.0,1.0,0.0,1.0,5.0,15.0,0.0,55.0,5.0,0.0,0.0,0.0,0.0
2020-10-30,9.0,7.0,9.0,5.0,1.0,47.0,0.0,0.0,0.0,24.0,1.0,23.0,7.0,15.0,0.0,1.0,0.0,2.0,4.0,0.0,6.0,0.0,17.0,29.0,2.0,99.0,0.0,0.0,1.0,8.0,1.0
2020-11-02,2.0,12.0,9.0,7.0,1.0,39.0,1.0,0.0,0.0,10.0,1.0,11.0,10.0,16.0,2.0,1.0,0.0,4.0,5.0,2.0,2.0,2.0,3.0,28.0,9.0,79.0,2.0,0.0,7.0,1.0,-1.0
2020-11-06,3.0,1.0,4.0,2.0,1.0,37.0,0.0,0.0,0.0,18.0,2.0,17.0,8.0,23.0,2.0,1.0,1.0,10.0,7.0,1.0,1.0,1.0,8.0,12.0,9.0,82.0,2.0,0.0,4.0,0.0,1.0
2020-11-09,6.0,0.0,2.0,6.0,0.0,54.0,0.0,0.0,2.0,13.0,4.0,9.0,6.0,26.0,0.0,1.0,0.0,7.0,9.0,3.0,0.0,5.0,3.0,22.0,1.0,64.0,9.0,0.0,9.0,2.0,0.0
2020-11-13,3.0,0.0,4.0,4.0,0.0,45.0,0.0,0.0,1.0,23.0,1.0,18.0,4.0,37.0,2.0,1.0,0.0,5.0,6.0,10.0,1.0,6.0,3.0,22.0,4.0,65.0,12.0,0.0,2.0,12.0,-2.0
2020-11-16,2.0,0.0,1.0,8.0,1.0,34.0,3.0,1.0,0.0,16.0,3.0,18.0,2.0,32.0,0.0,0.0,3.0,1.0,4.0,7.0,0.0,10.0,1.0,13.0,11.0,58.0,8.0,0.0,3.0,8.0,0.0
2020-11-20,6.0,1.0,0.0,20.0,2.0,32.0,1.0,0.0,0.0,31.0,1.0,42.0,3.0,29.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,4.0,13.0,8.0,61.0,12.0,0.0,0.0,9.0,1.0
2020-11-23,0.0,0.0,4.0,14.0,1.0,23.0,0.0,1.0,0.0,24.0,6.0,19.0,4.0,22.0,1.0,0.0,1.0,6.0,0.0,3.0,0.0,3.0,13.0,18.0,3.0,41.0,9.0,0.0,0.0,7.0,1.0
2020-11-27,1.0,2.0,2.0,23.0,2.0,29.0,0.0,0.0,0.0,30.0,9.0,20.0,2.0,32.0,5.0,1.0,6.0,2.0,1.0,2.0,0.0,2.0,9.0,24.0,4.0,41.0,15.0,0.0,2.0,5.0,0.0
2020-11-30,3.0,3.0,4.0,16.0,0.0,31.0,0.0,1.0,0.0,22.0,0.0,21.0,4.0,9.0,1.0,0.0,2.0,5.0,0.0,1.0,2.0,4.0,15.0,20.0,2.0,37.0,19.0,0.0,7.0,1.0,0.0
2020-12-04,20.0,1.0,3.0,7.0,2.0,26.0,3.0,1.0,0.0,11.0,6.0,9.0,2.0,18.0,1.0,0.0,0.0,5.0,1.0,4.0,0.0,3.0,10.0,24.0,3.0,41.0,15.0,0.0,7.0,1.0,0.0
2020-12-07,2.0,2.0,2.0,7.0,7.0,43.0,7.0,0.0,0.0,11.0,0.0,11.0,2.0,16.0,3.0,0.0,1.0,1.0,1.0,5.0,26.0,2.0,5.0,39.0,0.0,42.0,6.0,1.0,6.0,1.0,1.0
2020-12-11,1.0,6.0,0.0,27.0,3.0,128.0,5.0,1.0,0.0,20.0,2.0,11.0,11.0,13.0,0.0,0.0,1.0,1.0,2.0,2.0,7.0,6.0,25.0,25.0,1.0,57.0,13.0,0.0,0.0,4.0,1.0
2020-12-14,2.0,4.0,1.0,13.0,3.0,89.0,1.0,0.0,1.0,22.0,3.0,22.0,12.0,13.0,0.0,0.0,1.0,2.0,1.0,3.0,12.0,7.0,18.0,48.0,1.0,89.0,9.0,4.0,5.0,7.0,1.0
2020-12-18,3.0,5.0,5.0,10.0,4.0,155.0,0.0,5.0,9.0,26.0,6.0,29.0,19.0,8.0,1.0,1.0,0.0,8.0,5.0,1.0,13.0,9.0,15.0,47.0,5.0,117.0,15.0,0.0,21.0,7.0,1.0
2020-12-21,14.0,4.0,0.0,10.0,2.0,154.0,1.0,6.0,4.0,28.0,6.0,20.0,35.0,16.0,2.0,1.0,1.0,5.0,1.0,4.0,21.0,10.0,16.0,47.0,5.0,99.0,28.0,0.0,13.0,4.0,3.0
