dates,Alhue,Buin,Calera_de_Tango,Cerrillos,Cerro_Navia,Colina,Conchali,Curacavi,El_Bosque,El_Monte,Estacion_Central,Huechuraba,Independencia,Isla_de_Maipo,La_Cisterna,La_Florida,La_Granja,La_Pintana,La_Reina,Lampa,Las_Condes,Lo_Barnechea,Lo_Espejo,Lo_Prado,Macul,Maipu,Maria_Pinto,Melipilla,Nunoa,Padre_Hurtado,Paine,Pedro_Aguirre_Cerda,Penaflor,Penalolen,Pirque,Providencia,Pudahuel,Puente_Alto,Quilicura,Quinta_Normal,Recoleta,Renca,San_Bernardo,San_Joaquin,San_Jose_de_Maipo,San_Miguel,San_Pedro,San_Ramon,Santiago,Talagante,Tiltil,Vitacura
20/03/30,0,0.304022522,1.001627645,0,0.635076619,0.844903896,0.478944407,0.653569141,0.49833887,0,0.368440153,0.719397669,0.502787959,0,0.47413274,0.508809926,0.194273063,0,1.139984382,0.375254516,2.605839182,2.609767593,0.183388235,0.638551255,0.353689959,0.353888931,0,0.201758527,1.275211114,0.641869947,0,0.30920599,0.471205126,0.553298929,0,2.475300575,0.319794188,0.331758366,0.317841728,0.733309867,0.425897046,0.266446641,0.455091306,0.598200337,0,0.894697984,0,0,1.201958682,0,0,4.084135152
20/03/31,0,0.304022522,1.168565586,0.107062025,0.668501704,0.924113636,0.547365036,0.653569141,0.636766334,0,0.437522682,0.761715179,0.536307157,0,0.521546014,0.603472237,0.233127676,0.12575342,1.187483731,0.375254516,2.807395804,2.801662268,0.275082353,0.729772863,0.424427951,0.403268782,0,0.235384949,1.446508129,0.641869947,0,0.485895127,0.565446151,0.696085749,0,2.53567376,0.395039879,0.375992815,0.448717733,0.803148902,0.501055348,0.355262188,0.511977719,0.874292801,0,1.002061742,0,0.165133676,1.343922305,0.174560892,0,4.231754495
20/04/01,0,0.347454311,1.168565586,0.214124051,0.701926789,1.029726623,0.615785666,0.653569141,0.775193798,0,0.506605211,0.804032689,0.569826354,0,0.568959288,0.68630176,0.310836901,0.25150684,1.234983081,0.375254516,2.994555524,2.993556944,0.320929412,0.820994471,0.530534938,0.452648632,0,0.26901137,1.598772143,0.706056942,0,0.574239696,0.612566664,0.821024217,0,2.626233537,0.470285571,0.427599671,0.542200594,0.872987937,0.57621365,0.414472553,0.583085735,1.104369853,0,1.145213419,0,0.330267351,1.476421688,0.29093482,0,4.428580286
20/04/02,0,0.477749677,1.168565586,0.214124051,0.768776959,1.161742857,0.684206295,0.653569141,0.88593577,0,0.52963272,0.846350199,0.636864748,0,0.568959288,0.733632916,0.466255352,0.301808208,1.329981779,0.412779968,3.109730736,3.147072685,0.36677647,0.866605275,0.672010922,0.485568533,0,0.302637791,1.693937152,0.770243936,0,0.574239696,0.612566664,0.892417627,0,2.716793315,0.526719839,0.486578936,0.579593738,1.047585525,0.67642472,0.473682917,0.668415355,1.196400675,0,1.288365097,0,0.440356469,1.55213562,0.349121784,0,4.674612524
20/04/03,0,0.608045044,1.168565586,0.214124051,0.869052215,1.240952597,0.752626925,0.653569141,0.968992248,0,0.57568774,0.930985219,0.73742234,0,0.568959288,0.792796861,0.621673802,0.326958892,1.424980478,0.487830871,3.224905949,3.262209491,0.412623529,0.912216078,0.813486906,0.526718409,0,0.302637791,1.770069158,0.898617926,0,0.574239696,0.612566664,0.963811037,0,2.837539684,0.60196553,0.560303018,0.616986883,1.222183112,0.801688557,0.532893282,0.753744975,1.288431496,0,1.395728855,0,0.495401027,1.637313795,0.349121784,0,4.920644762
20/04/04,0,0.738340411,1.168565586,0.214124051,0.935902385,1.267355844,0.855257869,0.784282969,0.996677741,0.119005967,0.644770268,1.057937749,0.770941537,0.118540857,0.616372562,0.875626383,0.73823764,0.352109577,1.472479827,0.487830871,3.383271866,3.415725231,0.504317647,0.957826882,0.954962889,0.567868284,0,0.336264212,1.865234167,0.96280492,0,0.61841198,0.659687176,1.017356095,0.15647175,2.928099461,0.677211222,0.648771915,0.710469744,1.292022147,0.901899626,0.532893282,0.867517801,1.380462317,0,1.503092613,0,0.495401027,1.807670143,0.407308748,0,5.215883448
20/04/05,0,0.825203988,1.168565586,0.214124051,0.969327471,1.293759091,0.992099128,0.914996798,0.996677741,0.357017901,0.736880307,1.227207789,0.837979932,0.237081714,0.806025658,0.982121484,0.854801478,0.402410945,1.567478526,0.525356323,3.570431586,3.569240972,0.550164706,1.04904849,1.096438873,0.617248135,0,0.336264212,1.941366174,0.96280492,0,0.662584264,0.801048714,1.088749505,0.469415249,3.018659238,0.752456913,0.751985629,0.841345749,1.326941665,1.002110696,0.562498464,0.981290628,1.518508549,0,1.64624429,0,0.495401027,2.015883458,0.523682676,0,5.461915686
20/04/06,0,0.868635777,1.168565586,0.267655063,1.036177641,1.320162338,1.094730072,1.045710626,1.024363234,0.595029835,0.828990345,1.354160319,0.871499129,0.474163428,0.94826548,1.076783796,0.932510703,0.452712313,1.662477224,0.525356323,3.714400602,3.722756713,0.687705882,1.140270098,1.20254586,0.683087936,0,0.369890633,2.036531182,1.026991915,0,0.706756548,0.848169227,1.160142915,0.625886999,3.139405608,0.827702604,0.877316567,0.953525183,1.431700217,1.102321765,0.562498464,1.052398644,1.65655478,0,1.753608049,0,0.495401027,2.214632531,0.640056604,0,5.609535029
20/04/07,0,0.868635777,1.335503527,0.374717089,1.103027811,1.478581818,1.197361016,1.176424454,1.107419712,0.714035802,0.875045364,1.438795339,0.938537524,0.592704284,1.090505302,1.14778053,0.971365316,0.528164365,1.852474621,0.562881775,3.771988208,3.876272454,0.871094117,1.322713314,1.273283852,0.748927737,0,0.369890633,2.112663189,1.09117891,0,0.750928833,0.848169227,1.267233031,0.625886999,3.29033857,0.902948295,1.032137138,0.990918327,1.67613684,1.202532835,0.592103647,1.080841851,1.794601012,0,1.860971807,0,0.550445586,2.38498888,0.698243568,0.443442265,5.609535029
20/04/08,0,0.868635777,1.335503527,0.588841139,1.203303067,1.637001299,1.299991961,1.176424454,1.273532669,0.833041769,0.944127893,1.481112849,1.039095116,0.829785998,1.232745124,1.218777263,1.010219929,0.628767101,2.089971367,0.675458129,3.829575814,4.029788194,1.054482352,1.459545726,1.308652848,0.872377364,0,0.403517055,2.245894201,1.155365904,0,0.839273401,0.848169227,1.392171498,0.625886999,3.471458124,0.978193987,1.223819749,1.065704616,1.990412497,1.302743904,0.651314011,1.123506661,1.932647244,0,2.004123484,0,0.660534703,2.56480947,0.814617496,0.88688453,5.609535029
20/04/09,0,1.042362933,1.335503527,0.856496203,1.303578322,1.689807792,1.471043534,1.176424454,1.522702104,0.952047736,1.174402989,1.523430359,1.139652708,1.066867712,1.42239822,1.348937942,1.204492992,0.804821889,2.279968764,0.825559936,3.930354125,4.144925,1.283717646,1.550767333,1.414759836,1.119276618,0,0.470769897,2.607521233,1.219552899,0.172603657,1.192651675,0.895289739,1.552806671,0.938830499,3.682764271,1.128685369,1.489226442,1.27136691,2.199929602,1.402954974,0.740129558,1.365273917,2.162724296,0.510824368,2.218851,0,0.825668379,2.80141551,0.930991424,0.88688453,5.707947924
20/04/10,0,1.259521877,1.335503527,1.124151266,1.403853578,1.742614286,1.607884793,1.307138282,1.771871539,1.071053703,1.404678085,1.608065379,1.240210299,1.185408569,1.612051316,1.49093141,1.398766055,0.980876677,2.469966161,0.975661743,4.045529337,4.22168287,1.558799999,1.596378137,1.520866823,1.374405847,0,0.53802274,2.950115264,1.283739894,0.402741867,1.590202234,0.942410252,1.749138549,1.408245748,3.894070417,1.260365329,1.762005543,1.477029204,2.409446707,1.528218811,0.828945105,1.663927586,2.392801349,1.021648737,2.469366436,0,0.990802054,3.03802155,1.047365352,0.88688453,5.855567267
20/04/11,0,1.389817243,1.502441467,1.284744304,1.570979004,1.821824026,1.676305423,1.43785211,1.965669989,1.19005967,1.496788123,1.735017909,1.407806286,1.185408569,1.706877864,1.656590455,1.554184506,1.106630098,2.517465511,1.125763549,4.131910747,4.298440741,1.788035293,1.687599745,1.591604815,1.497855474,0,0.571649161,3.102379277,1.412113883,0.460276419,1.85523594,1.036651277,1.96331878,1.564717498,3.984630195,1.33561102,1.983177787,1.60790521,2.584044295,1.62842988,0.947365834,1.806143619,2.48483217,1.021648737,2.684093952,0,1.045846613,3.227306381,1.105552316,0.88688453,6.00318661
20/04/12,0,1.476680821,1.502441467,1.391806329,1.73810443,1.901033766,1.744726052,1.568565939,2.131782946,1.19005967,1.542843142,1.904287949,1.575402272,1.185408569,1.754291138,1.822249501,1.670748344,1.232383518,2.56496486,1.275865356,4.189498353,4.375198611,2.017270587,1.824432157,1.662342807,1.580155226,0,0.571649161,3.159478283,1.540487873,0.460276419,2.120269645,1.130892302,2.17749901,1.564717498,4.014816787,1.392045289,2.182232806,1.682691499,2.723722365,1.72864095,1.095391746,1.905694842,2.576862991,1.021648737,2.863033549,0,1.045846613,3.39766273,1.163739281,0.88688453,6.150805952
20/04/13,0,1.563544399,1.669379408,1.552399367,1.905229856,1.95384026,1.778936367,1.699279767,2.297895903,1.19005967,1.63495318,2.031240479,1.742998259,1.185408569,1.849117686,1.952410179,1.787312182,1.383287622,2.56496486,1.388441711,4.261482861,4.451956481,2.200658822,1.961264569,1.733080799,1.670684952,0,0.571649161,3.254643291,1.668861862,0.460276419,2.385303351,1.178012815,2.338134183,1.564717498,4.105376564,1.46729098,2.373915417,1.757477788,2.93323947,1.82885202,1.243417658,1.991024462,2.668893813,1.021648737,3.077761065,0,1.100891171,3.549090595,1.221926245,0.88688453,6.249218848
20/04/14,0,1.650407977,1.669379408,1.82005443,2.038930197,2.006646753,1.847356997,1.829993595,2.436323367,1.19005967,1.842200767,2.158193008,1.843555851,1.185408569,1.991357508,2.011574124,1.865021407,1.55934241,2.612464209,1.463492614,4.333467368,4.605472222,2.384047057,2.006875373,1.768449795,1.818824504,0,0.605275582,3.387874303,1.733048857,0.460276419,2.738681625,1.225133327,2.391679241,1.721189248,4.256309526,1.561348094,2.543480804,1.813567504,3.282434645,1.904010322,1.332233205,2.076354082,2.852955455,1.021648737,3.256700662,0,1.266024847,3.672125736,1.280113209,0.88688453,6.298425295
20/04/15,0,1.737271554,1.669379408,2.087709494,2.172630537,2.03305,1.915777626,1.829993595,2.574750831,1.19005967,2.049448353,2.242828028,2.011151837,1.303949426,2.13359733,2.082570858,1.981585245,1.760547883,2.659963558,1.538543517,4.405451876,4.797366898,2.567435293,2.143707784,1.80381879,1.983424007,0,0.638902003,3.57820432,1.733048857,0.517810971,3.092059899,1.225133327,2.445224298,1.877660998,4.43742908,1.655405208,2.75728064,1.888353793,3.666549337,2.029274159,1.480259116,2.218570114,3.129047918,1.021648737,3.471428178,0,1.486203081,3.823553601,1.396487137,0.88688453,6.298425295
20/04/16,0,1.824135132,1.669379408,2.355364557,2.406606134,2.085856494,2.052618885,1.829993595,2.76854928,1.309065637,2.18761341,2.369780558,2.312824612,1.303949426,2.181010604,2.28372827,2.137003695,1.986904039,2.754962257,1.61359442,4.506230187,5.18115625,2.65912941,2.462983412,1.909925778,2.172713435,0,0.739781267,3.863699346,1.733048857,0.575345524,3.312921321,1.27225384,2.659404529,2.034132748,4.709108412,1.805896591,3.11115623,1.981836654,4.015744512,2.354960135,1.77631094,2.50300218,3.497171203,1.021648737,3.721943613,0,1.651336757,4.107480849,1.454674101,0.88688453,6.347631743
20/04/17,0,1.867566921,1.836317349,2.569488608,2.64058173,2.138662987,2.189460144,1.829993595,2.96234773,1.428071604,2.325778468,2.496733088,2.681535783,1.303949426,2.228423878,2.496718472,2.331276759,2.213260195,2.802461606,1.688645324,4.607008498,5.526566667,2.750823528,2.827869843,2.016032766,2.337312938,0.31903422,0.840660531,4.130161369,1.797235851,0.575345524,3.445438174,1.366494865,2.891433112,2.034132748,4.950601151,1.937576551,3.479776637,2.094016087,4.364939687,2.680646111,2.072362763,2.815877453,3.865294487,1.021648737,3.972459049,0,1.761425874,4.381943855,1.512861065,0.88688453,6.396838191
20/04/18,0,1.91099871,2.00325529,2.676550633,2.874557327,2.217872727,2.360511718,1.829993595,3.156146179,1.428071604,2.463943525,2.581368108,3.016727755,1.303949426,2.418076975,2.591380784,2.447840597,2.389314983,2.849960956,1.726170775,4.650199203,5.756840278,2.842517645,3.055923863,2.086770758,2.436072639,0.31903422,0.941539794,4.301458385,1.861422846,0.575345524,3.622127311,1.46073589,3.069916637,2.034132748,5.131720705,2.050445088,3.730438513,2.187498948,4.679215344,2.856015483,2.220388675,3.014979899,4.14138695,1.021648737,4.222974484,0,1.92655955,4.523907479,1.512861065,0.88688453,6.446044638
20/04/19,0,1.997862287,2.170193231,2.730081646,3.108532923,2.297082468,2.565773606,1.829993595,3.349944629,1.428071604,2.602108583,2.708320638,3.385438926,1.303949426,2.655143345,2.650544728,2.564404435,2.540219088,2.897460305,1.763696227,4.664596104,5.871977083,2.934211763,3.238367078,2.157508749,2.493682465,0.31903422,1.076045479,4.434689397,1.989796835,0.632880076,3.754644164,1.554976916,3.212703458,2.190604497,5.282653667,2.125690779,3.936865941,2.299678382,4.958571484,2.98127932,2.309204222,3.171417535,4.417479414,1.021648737,4.47348992,0.398385741,2.091693226,4.599621411,1.571048029,1.108605662,6.495251086
20/04/20,0,1.737271554,1.335503527,2.837143671,2.674006815,1.531388312,2.257880774,1.176424454,3.017718715,1.428071604,2.394860997,2.073557989,3.351919728,1.303949426,2.418076975,2.224564326,2.486695209,2.691123192,1.804975272,1.425967162,2.087550726,3.415725231,2.888364704,2.782259039,1.909925778,2.213863311,0.31903422,0.975166215,3.292709294,1.412113883,0.632880076,3.622127311,1.178012815,2.784342997,2.190604497,2.958286054,1.899953705,3.811535002,2.094016087,4.469698239,2.730751646,2.16117831,2.915428676,4.049356129,1.021648737,3.793519452,0.398385741,2.31187146,3.530162112,1.571048029,1.108605662,2.411115933
20/04/21,0,1.780703343,1.335503527,2.890674683,2.807707156,1.504985065,2.360511718,1.176424454,3.017718715,1.428071604,2.533026054,2.158193008,3.921746082,1.303949426,2.512903523,2.260062692,2.564404435,2.665972508,1.757475923,1.501018066,1.94358171,3.338967361,2.934211763,2.827869843,2.016032766,2.263243162,0.31903422,1.008792637,3.254643291,1.476300878,0.632880076,3.622127311,1.178012815,2.730797939,2.190604497,3.048845831,1.899953705,4.003217614,2.075319515,4.609376309,2.906121017,2.220388675,3.114531122,3.957325308,1.021648737,3.865095291,0.398385741,2.421960577,3.605876045,1.454674101,1.108605662,2.26349659
20/04/22,0,1.824135132,1.335503527,2.944205696,2.941407497,1.425775325,2.428932347,1.176424454,2.96234773,1.428071604,2.694218621,2.242828028,4.592130028,1.303949426,2.607730071,2.319226637,2.564404435,2.61567114,1.757475923,1.576068969,1.842803399,3.262209491,2.980058822,2.873480647,2.122139754,2.320852988,0.31903422,1.008792637,3.254643291,1.412113883,0.690414629,3.754644164,1.225133327,2.677252882,2.347076247,3.079032423,1.899953705,4.187527817,2.112712659,4.749054379,3.106543157,2.368414586,3.342076775,3.865294487,1.277060921,3.90088321,0.796771482,2.587094253,3.719446944,1.338300173,1.108605662,2.0666708
20/04/23,0,1.737271554,1.335503527,3.104798734,3.008257667,1.320162338,2.497352977,1.307138282,2.96234773,1.428071604,2.924493717,2.327463048,5.262513973,1.303949426,2.749969893,2.437554527,2.525549822,2.665972508,1.662477224,1.651119872,1.799612695,3.223830555,3.117599998,2.964702255,2.228246741,2.403152739,0.31903422,1.008792637,3.292709294,1.412113883,0.690414629,3.975505585,1.366494865,2.695101234,2.347076247,3.109219016,1.937576551,4.364465612,2.243588665,4.749054379,3.332018063,2.486835316,3.569622428,3.957325308,1.532473105,3.936671129,0.796771482,2.807272487,3.927660259,1.338300173,1.108605662,1.86984501
