,Chepica,Chimbarongo,Codegua,Coinco,Coltauco,Donihue,Graneros,La Estrella,Las Cabras,Litueche,Lolol,Machali,Malloa,Marchihue,Mostazal,Nancagua,Navidad,Olivar,Palmilla,Paredones,Peralillo,Peumo,Pichidegua,Pichilemu,Placilla,Pumanque,Quinta de Tilcoco,Rancagua,Rengo,Requinoa,San Fernando,San Vicente,Santa Cruz,Desconocido O’Higgins
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
2020-04-15,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,7.0,1.0,1.0,1.0,0.0,-1.0,0.0
2020-04-24,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,-1.0,0.0,1.0,0.0
2020-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,4.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0
2020-05-08,0.0,0.0,0.0,1.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,-1.0,1.0,0.0,2.0,0.0,0.0
2020-05-11,0.0,0.0,1.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,3.0,1.0,0.0
2020-05-15,1.0,3.0,0.0,2.0,6.0,4.0,6.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,46.0,3.0,3.0,4.0,6.0,2.0,0.0
2020-05-18,2.0,0.0,1.0,1.0,7.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,42.0,7.0,1.0,4.0,5.0,1.0,0.0
2020-05-22,3.0,1.0,2.0,3.0,0.0,6.0,5.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,1.0,1.0,0.0,10.0,5.0,0.0
2020-05-25,0.0,5.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,48.0,5.0,0.0,3.0,5.0,1.0,0.0
2020-05-29,0.0,5.0,2.0,5.0,5.0,8.0,9.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,83.0,8.0,9.0,8.0,3.0,1.0,0.0
2020-06-01,2.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,28.0,3.0,1.0,9.0,2.0,2.0,0.0
2020-06-05,-2.0,4.0,2.0,3.0,3.0,3.0,2.0,1.0,5.0,2.0,7.0,17.0,0.0,1.0,4.0,3.0,2.0,5.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,88.0,9.0,11.0,12.0,6.0,4.0,0.0
2020-06-08,2.0,9.0,3.0,2.0,2.0,10.0,14.0,0.0,3.0,1.0,1.0,22.0,0.0,3.0,10.0,2.0,5.0,2.0,0.0,1.0,3.0,1.0,0.0,3.0,5.0,0.0,0.0,105.0,4.0,5.0,11.0,1.0,3.0,0.0
2020-06-12,1.0,10.0,4.0,4.0,3.0,5.0,11.0,2.0,0.0,4.0,1.0,12.0,4.0,0.0,4.0,9.0,2.0,3.0,2.0,1.0,12.0,1.0,3.0,1.0,3.0,0.0,1.0,195.0,31.0,7.0,14.0,15.0,13.0,0.0
2020-06-15,12.0,4.0,7.0,3.0,6.0,6.0,24.0,4.0,3.0,3.0,3.0,19.0,1.0,3.0,14.0,16.0,7.0,6.0,4.0,2.0,8.0,3.0,0.0,1.0,4.0,1.0,2.0,162.0,16.0,8.0,9.0,14.0,11.0,0.0
2020-06-19,16.0,11.0,14.0,10.0,12.0,37.0,57.0,4.0,14.0,15.0,9.0,99.0,14.0,5.0,40.0,6.0,15.0,24.0,5.0,3.0,7.0,3.0,9.0,5.0,9.0,1.0,7.0,817.0,92.0,47.0,31.0,41.0,19.0,122.0
2020-06-23,13.0,14.0,18.0,8.0,20.0,45.0,54.0,0.0,17.0,10.0,3.0,128.0,2.0,0.0,24.0,1.0,9.0,10.0,4.0,2.0,4.0,2.0,9.0,9.0,0.0,1.0,10.0,756.0,81.0,41.0,25.0,42.0,12.0,28.0
2020-06-28,8.0,19.0,27.0,15.0,10.0,48.0,50.0,9.0,29.0,9.0,12.0,194.0,17.0,0.0,28.0,4.0,1.0,27.0,7.0,0.0,1.0,5.0,21.0,4.0,3.0,0.0,16.0,780.0,110.0,65.0,54.0,41.0,11.0,-150.0
