,Alto Hospicio,Camina,Colchane,Huara,Iquique,Pica,Pozo Almonte,Desconocido Tarapaca
2020-04-01,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-06,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-04-08,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-04-10,4.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0
2020-04-13,4.0,0.0,0.0,0.0,8.0,5.0,2.0,0.0
2020-04-15,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
2020-04-17,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
2020-04-20,11.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0
2020-04-24,12.0,0.0,0.0,0.0,22.0,3.0,0.0,0.0
2020-04-27,16.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
2020-05-01,22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
2020-05-04,51.0,0.0,0.0,3.0,32.0,0.0,1.0,0.0
2020-05-08,33.0,0.0,0.0,3.0,131.0,4.0,1.0,0.0
2020-05-11,27.0,0.0,0.0,3.0,55.0,2.0,1.0,0.0
2020-05-15,88.0,0.0,0.0,4.0,132.0,0.0,2.0,0.0
2020-05-18,103.0,0.0,0.0,2.0,170.0,2.0,3.0,0.0
2020-05-22,125.0,0.0,0.0,3.0,202.0,-2.0,10.0,0.0
2020-05-25,87.0,0.0,0.0,1.0,139.0,2.0,8.0,0.0
2020-05-29,153.0,2.0,1.0,11.0,267.0,6.0,19.0,0.0
2020-06-01,175.0,2.0,0.0,1.0,229.0,6.0,22.0,0.0
2020-06-05,143.0,4.0,3.0,2.0,253.0,6.0,22.0,0.0
2020-06-08,176.0,2.0,1.0,4.0,204.0,2.0,30.0,0.0
2020-06-12,107.0,0.0,5.0,3.0,238.0,1.0,71.0,0.0
2020-06-15,123.0,2.0,6.0,1.0,237.0,7.0,48.0,0.0
2020-06-19,204.0,4.0,10.0,14.0,319.0,10.0,58.0,258.0
2020-06-23,143.0,0.0,17.0,8.0,254.0,6.0,44.0,13.0
2020-06-28,134.0,9.0,11.0,2.0,258.0,7.0,35.0,-11.0
2020-07-01,33.0,4.0,4.0,3.0,109.0,1.0,19.0,35.0
2020-07-05,83.0,4.0,3.0,10.0,264.0,20.0,33.0,7.0
2020-07-10,85.0,2.0,11.0,14.0,231.0,52.0,45.0,8.0
2020-07-13,41.0,1.0,5.0,13.0,120.0,5.0,34.0,12.0
2020-07-17,50.0,1.0,1.0,11.0,139.0,8.0,12.0,14.0
2020-07-20,72.0,6.0,1.0,9.0,125.0,16.0,26.0,35.0
2020-07-24,58.0,0.0,7.0,7.0,206.0,4.0,35.0,1.0
2020-07-27,43.0,-4.0,3.0,1.0,148.0,9.0,21.0,13.0
2020-07-31,109.0,3.0,3.0,2.0,230.0,32.0,114.0,16.0
2020-08-03,72.0,0.0,0.0,-1.0,107.0,14.0,25.0,2.0
2020-08-07,84.0,0.0,1.0,2.0,187.0,8.0,28.0,19.0
2020-08-10,61.0,1.0,0.0,0.0,117.0,7.0,25.0,-9.0
2020-08-14,124.0,7.0,0.0,9.0,200.0,28.0,35.0,7.0
2020-08-17,87.0,7.0,3.0,3.0,119.0,19.0,21.0,7.0
2020-08-21,101.0,1.0,0.0,2.0,159.0,27.0,28.0,7.0
2020-08-24,87.0,1.0,1.0,4.0,136.0,13.0,23.0,3.0
2020-08-28,75.0,0.0,1.0,5.0,115.0,13.0,18.0,6.0
2020-08-31,66.0,0.0,0.0,2.0,110.0,9.0,11.0,5.0
2020-09-04,75.0,0.0,0.0,0.0,110.0,13.0,34.0,7.0
2020-09-07,63.0,0.0,0.0,1.0,66.0,6.0,7.0,2.0
2020-09-11,74.0,0.0,0.0,0.0,125.0,4.0,16.0,4.0
2020-09-14,68.0,0.0,0.0,2.0,104.0,0.0,6.0,11.0
2020-09-18,69.0,0.0,0.0,0.0,120.0,5.0,3.0,14.0
2020-09-21,31.0,0.0,0.0,0.0,43.0,4.0,6.0,27.0
2020-09-25,48.0,1.0,0.0,0.0,102.0,3.0,0.0,11.0
2020-09-28,45.0,0.0,0.0,0.0,82.0,4.0,9.0,38.0
2020-10-02,71.0,0.0,0.0,0.0,125.0,7.0,11.0,31.0
2020-10-05,26.0,2.0,0.0,3.0,65.0,6.0,3.0,59.0
2020-10-09,67.0,3.0,0.0,0.0,115.0,0.0,5.0,7.0
2020-10-12,34.0,0.0,0.0,1.0,56.0,2.0,4.0,57.0
2020-10-16,49.0,1.0,0.0,0.0,88.0,1.0,9.0,30.0
2020-10-19,41.0,0.0,0.0,0.0,70.0,0.0,5.0,18.0
2020-10-24,85.0,1.0,0.0,1.0,133.0,1.0,11.0,14.0
2020-10-26,32.0,0.0,0.0,1.0,52.0,1.0,5.0,11.0
2020-10-30,35.0,0.0,0.0,0.0,117.0,1.0,3.0,45.0
2020-11-02,39.0,0.0,3.0,2.0,78.0,4.0,4.0,11.0
2020-11-06,39.0,1.0,0.0,1.0,93.0,2.0,9.0,14.0
2020-11-09,40.0,2.0,1.0,10.0,77.0,12.0,19.0,31.0
2020-11-13,65.0,2.0,0.0,5.0,155.0,7.0,35.0,-78.0
2020-11-16,24.0,0.0,0.0,0.0,53.0,2.0,11.0,0.0
2020-11-20,44.0,4.0,0.0,10.0,110.0,1.0,9.0,3.0
2020-11-23,15.0,5.0,1.0,1.0,81.0,0.0,2.0,2.0
2020-11-27,52.0,4.0,0.0,0.0,132.0,0.0,6.0,-1.0
2020-11-30,39.0,0.0,1.0,0.0,76.0,0.0,1.0,2.0
2020-12-04,37.0,1.0,1.0,0.0,94.0,2.0,0.0,0.0
2020-12-07,52.0,1.0,4.0,1.0,79.0,3.0,16.0,0.0
2020-12-11,53.0,0.0,0.0,3.0,106.0,1.0,8.0,2.0
2020-12-14,61.0,1.0,0.0,8.0,109.0,0.0,7.0,2.0
2020-12-18,134.0,0.0,1.0,4.0,236.0,2.0,7.0,5.0
2020-12-21,84.0,0.0,2.0,0.0,182.0,3.0,8.0,-2.0
2020-12-25,142.0,0.0,2.0,2.0,282.0,4.0,10.0,4.0
2020-12-28,97.0,0.0,0.0,0.0,188.0,1.0,9.0,4.0
2021-01-01,213.0,2.0,0.0,2.0,367.0,0.0,21.0,3.0
2021-01-04,100.0,1.0,0.0,0.0,292.0,1.0,10.0,0.0
2021-01-08,304.0,1.0,0.0,0.0,589.0,12.0,24.0,-4.0
2021-01-11,220.0,0.0,1.0,3.0,418.0,25.0,26.0,1.0
2021-01-15,382.0,8.0,0.0,8.0,683.0,18.0,24.0,2.0
2021-01-18,185.0,3.0,2.0,12.0,466.0,13.0,23.0,2.0
2021-01-22,318.0,2.0,1.0,19.0,582.0,28.0,39.0,3.0
2021-01-25,209.0,1.0,0.0,11.0,341.0,12.0,22.0,1.0
2021-01-29,260.0,0.0,1.0,8.0,507.0,17.0,21.0,3.0
