NOM_REGION,CLAVE_REGION,NOM_MUN,CLAVE_MUN,POB_TOTAL_INE_2020,POB_HOM_INE_2020,POR_HOM_INE_2020,POB_MUJ_INE_2020,POR_MUJ_INE_2020,POB_EDAD_0_14_INE_2020,POR_EDAD_0_14_INE_2020,POB_EDAD_15_64_INE_2020,POR_EDAD_15_64_INE_2020,POB_EDAD_65+_INE_2020,POR_EDAD_65+_INE_2020,SUPERFICIE,DENSIDAD_INE_2020,POR_POB_RURAL_INE_2017,POR_POB_ETNIA_INE_2017,POR_POB_MIGRANTE_INE_2017,POR_POBREZA_ING_MIDESO_2017,POR_POBREZA_MULTI_MIDESO_2017,POR_POBREZA_ING_MIDESO_2020,POBREZA_ING_EXTR,MARGINACION,VULNERABILIDAD_SOCIAL,VULNERABILIDAD_SOCIAL_PUNTAJE,PRIORIDAD_SOCIAL,REZAGO_SOCIAL,TASA_MORTALIDAD_2020,TASA_MORTALIDAD_2021,TASA_EGRESOS_2020,TASA_EGRESOS_2021
Tarapaca,1,Iquique,1101,223463,112479,50,110984,50,44909,20.0968393,156452,70.01248529,22102,9.890675414,2287.62,9768.0,1.26,17.63,13.75,0.044,0.1969999999999999,0.123,,,Medio-baja,-5.643147877,,,89.95,188.44,295.8,594.82
Tarapaca,1,Alto_Hospicio,1107,129999,65487,50,64512,50,35632,27.40944161,88381,67.98590758,5986,4.604650805,573.85,22654.0,2.3,30.59,11.02,0.078,0.275,0.161,,,Alta,12.59333596,,,58.46,99.94,205.39,414.66
Tarapaca,1,Pozo_Almonte,1401,17395,9077,52,8318,48,4285,24.63351538,11629,66.85254383,1481,8.513940788,13769.12,126.0,35.75,43.04,11.26,0.109,0.3879999999999999,0.157,,,Medio-alta,8.020496975,,,97.73,72.82,241.45,431.3
Tarapaca,1,Camina,1402,1375,705,51,670,49,287,20.87272727,849,61.74545455,239,17.38181818,2199.69,63.0,100.0,87.79,13.69,0.264,0.518,0.228,,,Alta,33.67387355,,,218.18,216.76,363.64,650.29
Tarapaca,1,Colchane,1403,1583,826,52,757,48,268,16.92987997,1034,65.31901453,281,17.7511055,4007.03,40.0,100.0,84.72,10.13,0.139,0.635,0.212,,,Alta,35.71564291,,,126.34,62.97,379.03,314.86
Tarapaca,1,Huara,1404,3000,1559,52,1441,48,680,22.66666667,1832,61.06666667,488,16.26666667,10471.19,29.0,59.38,63.08,2.69,0.188,0.465,0.2019999999999999,,,Alta,19.15544333,,,66.67,197.17,800.0,690.11
Tarapaca,1,Pica,1405,5958,3012,51,2946,49,1350,22.65861027,3717,62.38670695,891,14.95468278,8983.82,66.0,57.92,46.47,15.77,0.086,0.3229999999999999,0.168,,,Medio-alta,6.791320282,,,83.92,147.9,469.96,312.24
Antofagasta,2,Antofagasta,2101,425725,213732,50,211993,50,87262,20.49726936,303988,71.40478008,34475,8.097950555,30691.17,1387.0,2.15,8.06,9.89,0.051,0.166,0.0819999999999999,,,Medio-baja,-6.603716021,,,65.77,112.29,287.27,429.32
Antofagasta,2,Mejillones,2102,14776,7716,52,7060,48,3100,20.97996751,10722,72.56361668,954,6.456415809,3568.84,414.0,3.81,9.71,14.34,0.077,0.22,0.128,,,Medio-baja,-2.666861585,,,40.61,72.52,351.92,560.39
Antofagasta,2,Sierra_Gorda,2103,1746,923,53,823,47,360,20.6185567,1293,74.05498282,93,5.326460481,12880.42,14.0,100.0,13.7,15.3,0.0139999999999999,0.253,0.128,,,Medio-baja,-9.843145556,,,0.0,112.87,57.27,112.87
Antofagasta,2,Taltal,2104,13657,6958,51,6699,49,3153,23.08706158,9127,66.83019697,1377,10.08274145,20403.06,67.0,16.48,26.88,3.09,0.035,0.26,0.131,,,Medio-alta,0.603734304,,,36.61,50.7,131.8,362.16
Antofagasta,2,Calama,2201,190336,95909,50,94427,50,42269,22.20756977,134551,70.6913038,13516,7.101126429,15588.25,1221.0,4.37,24.9,11.12,0.046,0.1369999999999999,0.106,,,Medio-baja,-3.481442183,,,167.6,111.2,712.42,650.66
Antofagasta,2,Ollague,2202,287,152,53,135,47,58,20.20905923,196,68.29268293,33,11.49825784,2918.48,10.0,100.0,68.47,26.33,0.2019999999999999,0.353,0.132,,,Medio-alta,6.215830966,,,0.0,0.0,0.0,0.0
Antofagasta,2,San_Pedro_de_Atacama,2203,10434,5262,50,5172,50,2051,19.65689093,7621,73.04006134,762,7.303047729,23543.23,44.0,49.76,51.53,16.72,0.04,0.221,0.146,,,Medio-alta,2.155310939,,,124.59,131.15,67.09,131.15
Antofagasta,2,Tocopilla,2301,28079,14059,50,14020,50,6527,23.24512981,18449,65.70390683,3103,11.05096335,4030.68,697.0,2.2,8.22,4.96,0.104,0.201,0.086,,,Medio-baja,-1.536468274,,,56.98,145.32,409.56,910.9
Antofagasta,2,Maria_Elena,2302,6814,3499,51,3315,49,1400,20.54593484,4988,73.2022307,426,6.251834458,12431.78,55.0,23.73,12.61,5.31,0.05,0.185,0.176,,,Medio-baja,-12.13346293,,,176.11,59.06,176.11,206.7
Atacama,3,Copiapo,3101,171766,86464,50,85302,50,38423,22.36938626,116772,67.98318643,16571,9.647427314,17780.48,966.0,1.93,17.8,3.65,0.063,0.233,0.083,,,Medio-baja,-6.21929651,,,37.84,115.44,139.72,346.31
Atacama,3,Caldera,3102,19426,9885,51,9541,49,4309,22.18161227,12966,66.74559868,2151,11.07278905,3680.55,528.0,10.68,18.55,2.49,0.104,0.204,0.102,,,Medio-baja,-3.857266211,,,10.3,61.19,56.63,198.86
Atacama,3,Tierra_Amarilla,3103,14312,7408,52,6904,48,3335,23.30212409,9706,67.81721632,1271,8.880659586,11252.15,127.0,29.13,31.47,3.9,0.143,0.314,0.121,,,Medio-alta,9.45913649,,,13.97,111.31,118.78,194.8
Atacama,3,Chanaral,3201,13164,6685,51,6479,49,3082,23.41233668,8470,64.34214524,1612,12.24551808,5771.24,228.0,9.3,10.72,1.19,0.121,0.252,0.102,,,Medio-alta,3.284463608,,,7.6,212.94,235.49,501.94
Atacama,3,Diego_de_Almagro,3202,14358,7312,51,7046,49,3519,24.50898454,9667,67.32831871,1172,8.162696754,18976.13,76.0,4.81,12.99,2.58,0.076,0.178,0.08,,,Medio-baja,-4.502755333,,,27.86,56.11,215.91,287.56
Atacama,3,Vallenar,3301,57009,28591,50,28418,50,12663,22.21228227,36839,64.61962146,7507,13.16809627,7226.96,789.0,11.36,24.58,1.66,0.088,0.212,0.098,,,Medio-baja,-0.64669594,,,43.85,101.36,201.72,391.44
Atacama,3,Alto_del_Carmen,3302,5729,2960,52,2769,48,1120,19.54965963,3588,62.62873102,1021,17.82160936,6155.81,93.0,100.0,53.03,1.38,0.153,0.283,0.125,,,Medio-alta,9.391899586,,,17.46,69.52,17.46,139.03
Atacama,3,Freirina,3303,7681,3890,51,3791,49,1734,22.57518552,4900,63.79377685,1047,13.63103763,3223.52,238.0,34.82,16.07,0.55,0.157,0.3289999999999999,0.125,,,Medio-alta,5.88095079,,,52.08,129.22,104.15,90.45
Atacama,3,Huasco,3304,11264,5744,51,5520,49,2455,21.79509943,7324,65.02130682,1485,13.18359375,1601.71,703.0,12.29,15.78,1.68,0.0969999999999999,0.173,0.093,,,Medio-baja,-4.003795208,,,53.27,52.75,150.92,167.05
Coquimbo,4,La_Serena,4101,249656,121768,49,127888,51,49770,19.93543115,170296,68.21226007,29590,11.85230878,1901.45,13130.0,9.23,8.86,2.35,0.102,0.201,0.1159999999999999,,,Medio-baja,-7.815033652,,,31.24,104.93,30.04,83.32
Coquimbo,4,Coquimbo,4102,256735,125378,49,131357,51,54056,21.05517362,173157,67.44580988,29522,11.4990165,1425.08,18015.0,5.79,8.33,2.27,0.134,0.18,0.108,,,Medio-baja,-4.83227172,,,40.9,107.71,133.21,229.94
Coquimbo,4,Andacollo,4103,11791,5852,50,5939,50,2435,20.65134425,7620,64.62556187,1736,14.72309389,514.8,2290.0,9.38,6.35,0.45,0.148,0.261,0.1119999999999999,,,Medio-alta,2.844407032,,,25.44,143.85,50.89,152.31
Coquimbo,4,La_Higuera,4104,4450,2245,50,2205,50,967,21.73033708,2815,63.25842697,668,15.01123596,4161.33,107.0,69.51,11.96,1.0,0.205,0.4029999999999999,0.156,,,Alta,10.23588483,,,22.47,200.98,0.0,44.66
Coquimbo,4,Paihuano,4105,4675,2306,49,2369,51,836,17.88235294,3087,66.03208556,752,16.0855615,1513.76,309.0,100.0,8.52,1.57,0.105,0.207,0.121,,,Medio-baja,-0.860775026,,,106.95,127.93,85.56,319.83
Coquimbo,4,Vicuna,4106,29741,14665,49,15076,51,6159,20.70878585,19543,65.71063515,4039,13.580579,7579.52,392.0,38.81,11.28,1.62,0.123,0.2319999999999999,0.14,,,Medio-alta,3.593466399,,,47.07,130.04,50.44,276.76
Coquimbo,4,Illapel,4201,32801,15962,49,16839,51,6684,20.37742752,21115,64.37303741,5002,15.24953508,2628.12,1248.0,31.76,7.05,1.03,0.12,0.254,0.119,,,Medio-alta,1.433824311,,,12.19,82.07,54.88,130.7
Coquimbo,4,Canela,4202,9546,4769,50,4777,50,1624,17.0123612,5859,61.37649277,2063,21.61114603,2196.67,435.0,78.44,4.71,0.35,0.251,0.435,0.146,,,Alta,11.7022154,,,41.9,178.05,20.95,104.73
