dates,AMEALCO_DE_BONFIL,PINAL_DE_AMOLES,ARROYO_SECO,CADEREYTA_DE_MONTES,COLON,CORREGIDORA,EZEQUIEL_MONTES,HUIMILPAN,JALPAN_DE_SERRA,LANDA_DE_MATAMOROS,EL_MARQUES,PEDRO_ESCOBEDO,PENAMILLER,QUERETARO,SAN_JOAQUIN,SAN_JUAN_DEL_RIO,TEQUISQUIAPAN,TOLIMAN
23/03/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
27/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
28/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
02/04/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
04/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
05/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
06/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
07/04/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
08/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
09/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
10/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
11/04/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0
12/04/2020,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0
13/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
14/04/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0
15/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
16/04/2020,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0
17/04/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
18/04/2020,0,0,0,0,0,0,1,1,0,0,0,1,0,0,4,0,0,0
19/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
20/04/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0
21/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
22/04/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,3,0
23/04/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
24/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
25/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0
26/04/2020,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0
27/04/2020,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,1,0
28/04/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
29/04/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0
30/04/2020,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,1,0
01/05/2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0
02/05/2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,1,0
03/05/2020,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,0,0,0
04/05/2020,0,0,0,0,0,0,4,0,0,0,0,0,1,0,8,0,0,0
05/05/2020,1,1,0,0,0,0,3,0,0,0,0,3,0,0,16,0,1,1
06/05/2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,3,0
07/05/2020,0,0,0,0,0,0,1,0,0,0,0,1,2,0,26,0,8,0
08/05/2020,0,0,0,0,0,0,2,0,0,0,0,0,1,0,20,0,8,0
09/05/2020,1,1,0,0,0,0,1,0,0,1,0,1,0,0,18,0,2,1
10/05/2020,0,0,0,0,1,0,2,0,0,0,0,3,0,0,24,0,10,0
11/05/2020,0,0,0,0,1,0,3,0,0,0,0,1,1,0,34,0,4,0
12/05/2020,0,0,0,0,2,1,4,0,0,0,0,4,2,0,26,0,5,0
13/05/2020,0,0,0,0,1,0,3,0,0,1,0,1,1,0,12,0,2,0
14/05/2020,0,0,0,0,1,0,0,1,0,0,0,1,0,0,16,0,6,3
15/05/2020,0,0,0,0,0,1,3,0,0,0,0,5,0,0,24,0,7,4
16/05/2020,0,0,0,0,1,0,0,0,0,0,0,3,4,0,30,0,7,2
17/05/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0
18/05/2020,0,0,0,0,1,1,1,0,0,0,0,1,1,0,24,0,4,0
19/05/2020,0,0,0,0,1,0,1,0,0,5,0,0,0,0,27,0,3,1
20/05/2020,0,0,0,0,0,1,4,1,0,0,0,4,1,0,21,0,11,1
21/05/2020,0,0,0,0,2,1,2,0,0,0,0,2,1,0,21,0,8,0
22/05/2020,1,1,0,0,0,1,1,1,0,3,0,3,2,0,19,0,8,0
23/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,5,0
24/05/2020,0,0,0,0,2,1,0,0,2,0,0,2,0,0,24,0,4,0
25/05/2020,1,1,0,0,1,0,2,0,0,0,0,3,0,0,44,0,3,2
26/05/2020,0,0,0,0,0,0,3,0,1,0,0,4,0,0,25,0,5,0
27/05/2020,0,0,0,0,0,2,2,0,0,0,0,1,0,0,12,0,4,0
28/05/2020,0,0,0,0,0,0,2,0,0,1,0,1,0,0,23,0,5,0
29/05/2020,0,0,0,0,0,0,2,1,0,0,0,2,0,0,26,0,4,3
30/05/2020,0,0,0,0,0,0,2,1,0,0,0,2,1,0,28,0,5,3
31/05/2020,1,1,0,0,1,1,2,0,0,1,0,2,1,0,19,0,2,0
01/06/2020,0,0,0,0,0,1,4,1,1,0,0,5,0,0,52,0,2,1
02/06/2020,0,0,0,0,0,2,2,0,0,1,0,1,2,0,35,0,7,0
03/06/2020,0,0,0,0,0,5,0,1,1,0,0,1,0,0,26,0,1,0
04/06/2020,0,0,0,0,0,1,1,0,0,1,0,0,0,0,9,0,1,0
05/06/2020,0,0,0,0,1,0,5,1,0,0,0,4,1,0,26,0,4,0
06/06/2020,0,0,0,0,1,0,3,1,1,0,0,2,0,0,26,0,5,0
07/06/2020,0,0,0,0,1,0,2,0,0,0,0,1,0,0,25,0,4,0
08/06/2020,0,0,0,0,0,1,3,0,0,0,0,5,2,0,31,0,2,0
09/06/2020,1,1,0,0,0,0,3,1,0,0,0,6,0,0,24,0,2,2
10/06/2020,0,0,0,0,0,0,3,0,0,0,0,1,2,0,30,0,3,0
11/06/2020,0,0,0,0,1,0,2,1,0,0,0,1,1,0,39,0,6,3
12/06/2020,0,0,0,0,1,0,2,0,1,0,0,4,0,0,23,0,6,0
13/06/2020,0,0,0,0,0,0,5,1,0,0,0,2,0,0,31,0,7,0
14/06/2020,0,0,0,0,1,0,3,0,0,0,0,2,1,0,28,0,4,0
15/06/2020,0,0,0,0,0,0,3,1,0,0,0,1,0,0,36,0,5,0
16/06/2020,0,0,0,0,0,0,1,0,0,0,0,3,1,0,17,0,9,1
17/06/2020,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22,0,2,1
18/06/2020,0,0,0,0,0,0,2,0,1,1,0,2,2,0,23,0,5,0
19/06/2020,0,0,0,0,3,0,4,0,0,0,0,0,1,0,37,0,5,0
20/06/2020,1,1,0,0,0,1,3,0,0,0,0,6,3,0,30,0,2,0
21/06/2020,2,2,0,0,0,0,1,1,0,0,0,1,3,0,26,0,4,0
22/06/2020,0,0,0,0,0,1,0,0,0,0,0,6,2,0,19,0,1,0
23/06/2020,0,0,0,0,0,1,1,1,0,0,0,0,2,0,30,0,1,0
24/06/2020,0,0,0,0,0,1,3,0,0,0,0,5,1,0,23,0,1,0
25/06/2020,0,0,0,0,0,1,1,0,0,0,0,3,4,0,36,0,5,0
26/06/2020,0,0,0,0,0,0,1,0,0,0,0,3,0,0,34,0,1,0
27/06/2020,0,0,0,0,0,1,2,1,0,0,0,4,1,0,34,0,4,1
28/06/2020,0,0,0,0,0,0,1,0,0,1,0,4,0,0,36,0,3,0
29/06/2020,0,0,0,0,1,0,2,0,0,0,0,4,1,0,25,0,7,1
30/06/2020,0,0,0,0,0,0,0,0,0,0,0,6,0,0,36,0,2,0
01/07/2020,0,0,0,0,0,1,3,0,0,1,0,1,2,0,49,0,7,1
02/07/2020,1,1,0,0,0,1,3,1,0,2,0,1,2,0,33,0,0,0
03/07/2020,0,0,0,0,2,2,2,1,0,1,0,4,5,0,32,0,9,0
04/07/2020,0,0,0,0,1,1,8,1,0,0,0,1,1,0,31,0,3,0
05/07/2020,0,0,0,0,3,0,5,1,0,4,0,4,3,0,49,0,1,3
06/07/2020,0,0,0,0,0,0,4,0,0,1,0,4,1,0,31,0,5,0
07/07/2020,0,0,0,0,1,1,2,0,0,1,0,3,3,0,55,0,4,2
08/07/2020,0,0,0,0,0,0,2,0,0,0,0,1,0,0,23,0,6,0
09/07/2020,0,0,0,0,0,1,1,1,0,0,0,1,4,0,50,0,7,0
10/07/2020,0,0,0,0,1,0,10,1,1,4,0,3,2,0,70,0,8,1
11/07/2020,0,0,0,1,0,2,5,0,0,2,0,4,1,0,46,0,3,0
12/07/2020,0,0,0,0,0,0,1,0,0,0,0,2,3,0,34,0,6,0
13/07/2020,1,1,0,0,1,2,9,0,0,1,0,1,4,0,36,0,12,2
14/07/2020,0,0,0,0,2,0,7,0,0,1,1,1,3,0,36,0,11,0
15/07/2020,0,0,0,0,1,0,7,3,0,1,1,6,1,0,55,0,6,2
16/07/2020,0,0,0,0,0,0,6,0,0,1,0,6,4,0,46,0,2,1
17/07/2020,0,0,0,0,0,0,3,0,0,0,0,4,1,0,38,0,1,0
18/07/2020,0,0,0,0,0,0,10,2,0,1,0,3,3,0,44,0,6,3
19/07/2020,0,0,0,0,1,0,7,0,0,4,0,1,2,0,38,0,5,1
20/07/2020,0,0,0,0,2,1,3,1,0,0,0,6,3,0,65,0,6,1
21/07/2020,0,0,0,0,0,0,5,1,0,0,0,2,3,0,41,0,4,0
22/07/2020,0,0,0,1,2,1,1,2,0,3,0,5,5,0,34,0,4,0
23/07/2020,0,0,0,0,2,0,6,1,0,1,0,1,1,0,39,0,3,0
24/07/2020,0,0,0,0,1,1,3,1,0,1,0,3,1,0,47,0,2,0
25/07/2020,0,0,0,1,2,1,9,1,0,3,0,2,4,0,42,0,6,0
26/07/2020,0,0,0,1,1,0,5,3,0,1,1,5,2,0,52,0,5,0
27/07/2020,1,1,0,1,0,0,5,1,1,0,1,7,5,0,48,0,4,0
28/07/2020,0,0,0,0,2,0,9,4,1,0,0,5,0,0,64,1,3,1
29/07/2020,0,0,0,0,0,0,4,1,0,1,0,8,2,0,44,0,8,1
30/07/2020,0,0,0,0,0,0,4,3,0,4,0,1,2,0,50,0,5,0
