NOM_REGION,CLAVE_REGION,NOM_MUN,CVEGEO,POBTOT,POB_HOM,POR_HOM,POB_MUJ,POR_MUJ,POB_EDAD_0_14,POR_EDAD_0_14,POB_EDAD_15_64,POR_EDAD_15_64,POB_EDAD_65+,POR_EDAD_65+,SUPERFICIE,DENSIDAD,POB_RURAL,POB_ETNIA,POB_MIGRANTE,POBREZA_ING,POBREZA_ING_EXTR,POBREZA_MULTI,MARGINACION_1,VULNERABILIDAD_SOCIAL,PRIORIDAD_SOCIAL,REZAGO_SOCIAL_1,IMN_num,REZAGO_SOCIAL_NUM,longitud,latitud,Hospitalizados,Muertes,Positivos,TASA_HospitalizadoS,TASA_Muertes,TASA_Positivos
AGUASCALIENTES,1,AGUASCALIENTES,1001,948990,486917,51.30897059,462073,48.69102941,240583,25.35147894,639532,67.39080496,67941,7.159295672,116635.9236,8.136344024,7.523683074,0.426769513,None,23.68225786,1.97408095,None,Muy bajo,None,None,Muy bajo,0.944508383,-1.31532,-102.2960467,21.87982278,0,0,0,0,0,0
AGUASCALIENTES,1,ASIENTOS,1002,51536,26275,50.98377833,25261,49.01622167,16266,31.56240298,31919,61.93534617,3331,6.46344303,54337.42656,0.948443886,78.22104936,0.083436821,None,40.13188119,4.142805744,None,Muy bajo,None,None,Muy bajo,0.885432776,-0.857301,-102.089275,22.23831694,0,0,0,0,0,0
AGUASCALIENTES,1,CALVILLO,1003,58250,29687,50.96480687,28563,49.03519313,16720,28.70386266,35854,61.55193133,5641,9.684120172,92335.7832,0.630849688,51.30128755,0.296995708,None,45.75594383,4.498972894,None,Muy bajo,None,None,Muy bajo,0.8934528,-0.918554,-102.7187506,21.84690722,0,0,0,0,0,0
AGUASCALIENTES,1,COSIO,1004,17000,8708,51.22352941,8292,48.77647059,5183,30.48823529,10699,62.93529412,1118,6.576470588,12838.35455,1.32415723,65.47058824,0.088235294,None,37.03918208,3.377118121,None,Muy bajo,None,None,Muy bajo,0.894326224,-1.004023,-102.3000442,22.36640861,0,0,0,0,0,0
AGUASCALIENTES,1,JESUS MARIA,1005,129929,65710,50.57377491,64219,49.42622509,38303,29.47994674,84949,65.38109275,6538,5.031979004,49989.51026,2.599125283,37.16414349,0.304012191,None,26.34183564,3.285400541,None,Muy bajo,None,None,Muy bajo,0.92404206,-1.173361,-102.3434164,21.96127278,0,0,0,0,0,0
AGUASCALIENTES,1,PABELLON DE ARTEAGA,1006,47646,24269,50.93607018,23377,49.06392982,14140,29.6772027,30491,63.9948789,2977,6.248163539,19573.59466,2.434197746,32.76455526,0.239264576,None,28.91802014,2.875126633,None,Muy bajo,None,None,Muy bajo,0.917982275,-1.168755,-102.2765417,22.14920167,0,0,0,0,0,0
AGUASCALIENTES,1,RINCON DE ROMOS,1007,57369,29268,51.01709983,28101,48.98290017,17703,30.85812895,35926,62.62267078,3579,6.238560895,37229.51617,1.540954756,44.28524116,0.712928585,None,40.5114188,5.563268412,None,Muy bajo,None,None,Muy bajo,0.902666645,-1.065487,-102.3230686,22.22923306,0,0,0,0,0,0
AGUASCALIENTES,1,SAN JOSE DE GRACIA,1008,9552,5020,52.55443886,4532,47.44556114,3033,31.75251256,5838,61.11809045,681,7.129396985,85779.05749,0.111355852,41.30025126,0.314070352,None,45.77092249,2.322039943,None,Muy bajo,None,None,Muy bajo,0.900801066,-0.956906,-102.4156336,22.15021639,0,0,0,0,0,0
AGUASCALIENTES,1,TEPEZALA,1009,22485,11371,50.57149211,11114,49.42850789,6858,30.50033356,14007,62.29486324,1566,6.964643095,22966.10123,0.97905168,76.76228597,0.155659328,None,37.64747244,3.149761021,None,Muy bajo,None,None,Muy bajo,0.886344786,-0.900102,-102.1669714,22.22422778,0,0,0,0,0,0
AGUASCALIENTES,1,EL LLANO,1010,20853,10407,49.90648828,10446,50.09351172,6249,29.96691124,13211,63.35299477,1392,6.675298518,50405.09876,0.413708147,69.75495133,0.095909461,None,40.61210535,4.811901771,None,Muy bajo,None,None,Muy bajo,0.885585027,-0.829259,-101.9653072,21.91886917,0,0,0,0,0,0
AGUASCALIENTES,1,SAN FRANCISCO DE LOS ROMO,1011,61997,31292,50.47341,30705,49.52659,20157,32.51286353,39408,63.56436602,2306,3.719534816,13777.01769,4.500030514,41.1197316,0.432278981,None,37.79044059,5.934460015,None,Muy bajo,None,None,Muy bajo,0.916844364,-1.075474,-102.2726783,22.07239306,0,0,0,0,0,0
BAJA CALIFRONIA,2,ENSENADA,2001,443807,222500,50.13440527,221307,49.86559473,103674,23.3601543,304500,68.61090519,35220,7.935882039,5298226.979,0.083765192,13.5700879,5.369676458,None,22.29843917,2.063813517,None,Muy bajo,None,None,Muy bajo,0.909487006,-0.970463,-116.5951339,31.80894389,0,0,0,0,0,0
BAJA CALIFRONIA,2,MEXICALI,2002,1049792,520544,49.58544169,529248,50.41455831,234367,22.32508916,734081,69.92632826,80587,7.676473054,1574297.446,0.666832054,11.39454292,0.919896513,None,20.21900643,1.084031092,None,Muy bajo,None,None,Muy bajo,0.929886282,-1.240347,-115.4755789,32.64117583,0,0,0,0,0,0
BAJA CALIFRONIA,2,TECATE,2003,108440,51310,47.31648838,57130,52.68351162,25657,23.66008853,74969,69.13408336,7576,6.9863519,272286.0283,0.398257673,20.40483217,1.47178163,None,21.10669427,1.207056876,None,Muy bajo,None,None,Muy bajo,0.91430735,-1.024642,-116.6265503,32.57267889,0,0,0,0,0,0
BAJA CALIFRONIA,2,TIJUANA,2004,1922523,953783,49.61100595,968740,50.38899405,449147,23.3623733,1359876,70.7339262,107406,5.586721199,125246.9463,15.34985927,1.704114853,1.498551643,None,23.70236267,1.855935146,None,Muy bajo,None,None,Muy bajo,0.926054585,-1.149643,-117.0189133,32.53246083,0,0,0,0,0,0
BAJA CALIFRONIA,2,PLAYAS DE ROSARITO,2005,126890,62504,49.2584128,64386,50.7415872,29326,23.11135629,87401,68.87934431,9530,7.510442115,50599.33798,2.50774032,15.75537867,2.250768382,None,31.23257588,2.161235906,None,Muy bajo,None,None,Muy bajo,0.912762472,-0.956101,-117.0544589,32.36368417,0,0,0,0,0,0
BAJA CALIFRONIA,2,SAN QUINTIN,2006,117568,57790,49.15453185,59778,50.84546815,36132,30.73285248,76391,64.97601388,4961,4.219685629,35191.9,3.340768756,54.39830566,30.50404872,None,34.90374178,3.793049525,None,Medio,None,None,Medio,0.83615465,0.349481,-115.9390614,30.55648528,0,0,0,0,0,0
BAJA CALIFORNIA SUR,3,COMONDU,3001,73021,36217,49.59806083,36804,50.40193917,17812,24.39298284,48719,66.71916298,6449,8.831705948,1715026.08,0.042577195,19.63955574,2.188411553,None,34.949686,4.27665416,None,Muy bajo,None,None,Muy bajo,0.912330378,-0.811338,-111.6733394,25.03463556,0,0,0,0,0,0
BAJA CALIFORNIA SUR,3,MULEGE,3002,64022,30951,48.34431914,33071,51.65568086,16999,26.55181032,42453,66.31001843,4460,6.966355315,3067014.633,0.020874371,39.31773453,9.854425041,None,24.11032719,3.161426317,None,Muy bajo,None,None,Bajo,0.90025359,-0.568869,-112.2682747,27.33686833,0,0,0,0,0,0
BAJA CALIFORNIA SUR,3,LA PAZ,3003,292241,146438,50.10864321,145803,49.89135679,64197,21.96714356,203031,69.47382469,24109,8.249698023,1523950.86,0.19176537,9.818608614,2.206055961,None,20.60725351,1.886306801,None,Muy bajo,None,None,Muy bajo,0.937218644,-1.101218,-110.30659,24.148745,0,0,0,0,0,0
BAJA CALIFORNIA SUR,3,LOS CABOS,3008,351111,170167,48.46530015,180944,51.53469985,93513,26.6334578,242624,69.10179402,12209,3.477247936,370993.7553,0.946406766,3.455317549,4.151393719,None,31.69997751,4.774386992,None,Muy bajo,None,None,Muy bajo,0.919719741,-0.758723,-109.6947492,23.06159139,0,0,0,0,0,0
BAJA CALIFORNIA SUR,3,LORETO,3009,18052,8795,48.72036339,9257,51.27963661,4532,25.1052515,12212,67.64901396,1286,7.123864392,458071.5652,0.039408689,9.644360736,2.609129182,None,34.07996447,2.93913944,None,Muy bajo,None,None,Muy bajo,0.92102857,-0.890728,-111.3433333,26.01277778,0,0,0,0,0,0
CAMPECHE,4,CALKINI,4001,59232,30062,50.75297137,29170,49.24702863,15423,26.03829011,38406,64.83995138,5311,8.966437061,207355.0037,0.285655031,28.34447596,76.12776877,None,62.84214474,17.78239495,None,Bajo,None,None,Bajo,0.867193799,-0.427612,-90.05073944,20.37122611,0,0,0,0,0,0
CAMPECHE,4,CAMPECHE,4002,294077,152522,51.86464769,141555,48.13535231,67071,22.80729197,201182,68.41133445,25297,8.60216882,322214.1045,0.912675752,9.925291675,11.7894293,None,32.52943282,4.701023686,None,Muy bajo,None,None,Muy bajo,0.918231766,-1.14464,-90.53964917,19.84481417,0,0,0,0,0,0
CAMPECHE,4,CARMEN,4003,248845,125802,50.55436115,123043,49.44563885,60958,24.49637324,169105,67.95595652,15332,6.161265045,657055.7525,0.378727374,14.85945066,3.196367217,None,35.36471266,7.625059784,None,Muy bajo,None,None,Muy bajo,0.909688152,-0.922415,-91.83645,18.63778944,0,0,0,0,0,0
CAMPECHE,4,CHAMPOTON,4004,78170,39140,50.07035947,39030,49.92964053,22355,28.59792759,49988,63.94780606,5779,7.392861712,681914.5344,0.114633134,54.20365869,21.21018293,None,57.17333003,12.11261745,None,Bajo,None,None,Bajo,0.858602187,-0.446059,-90.72389111,19.35621861,0,0,0,0,0,0
CAMPECHE,4,HECELCHAKAN,4005,31917,16204,50.76918257,15713,49.23081743,8551,26.7913651,20759,65.04057399,2607,8.168060908,126545.959,0.252216667,34.12288122,64.63640066,None,66.68112693,16.59872843,None,Bajo,None,None,Bajo,0.871965333,-0.453318,-90.13451722,20.17696611,0,0,0,0,0,0
CAMPECHE,4,HOPELCHEN,4006,42140,20812,49.3877551,21328,50.6122449,13067,31.00854295,25858,61.36212625,3155,7.486948268,773400.5089,0.054486646,80.90175605,62.84527765,None,74.85239887,21.72097893,None,Medio,None,None,Bajo,0.839342921,0.036244,-89.84504361,19.74554806,0,0,0,0,0,0
CAMPECHE,4,PALIZADA,4007,8683,4260,49.06138431,4423,50.93861569,2442,28.1239203,5379,61.94863526,862,9.927444432,216468.4023,0.04011209,100,2.499136243,None,59.86468886,13.71755909,None,Medio,None,None,Bajo,0.826152902,-0.31218,-92.09090167,18.25359833,0,0,0,0,0,0
CAMPECHE,4,TENABO,4008,11452,5655,49.38002096,5797,50.61997904,3120,27.24414949,7406,64.66992665,926,8.085923856,105068.6995,0.108995353,23.61159623,41.53859588,None,53.86312068,10.60076543,None,Bajo,None,None,Bajo,0.864073445,-0.34409,-90.22576333,20.03967694,0,0,0,0,0,0
CAMPECHE,4,ESCARCEGA,4009,59923,30455,50.8235569,29468,49.1764431,18061,30.14034678,37749,62.99584467,4090,6.825425963,476683.1558,0.125708239,47.64113946,12.04545834,None,68.05553818,17.83370989,None,Bajo,None,None,Bajo,0.859505638,-0.379536,-90.73200083,18.60431472,0,0,0,0,0,0
