,Antofagasta,Calama,Maria Elena,Mejillones,Ollague,San Pedro de Atacama,Sierra Gorda,Taltal,Tocopilla,Desconocido Antofagasta,Total
2020-06-15,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
2020-06-19,3.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0
2020-06-23,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-06-28,17.0,38.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,59.0
2020-07-01,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-07-05,13.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0
2020-07-10,10.0,18.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,32.0
2020-07-13,13.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
2020-07-17,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2020-07-20,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0
2020-07-24,8.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0
2020-07-27,10.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,23.0
2020-07-31,8.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0
2020-08-03,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
2020-08-07,8.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,15.0
2020-08-10,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2020-08-14,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0
2020-08-17,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0
2020-08-21,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0
2020-08-24,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
2020-08-28,13.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,15.0
2020-08-31,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-09-04,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-09-07,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0
2020-09-11,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0
2020-09-14,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2020-09-18,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2020-09-21,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-09-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-09-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-10-02,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-10-05,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-10-12,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-10-16,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-10-19,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-10-24,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
2020-10-26,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2020-10-30,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-11-02,11.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
2020-11-06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-11-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-11-13,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
2020-11-16,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2020-11-20,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-11-23,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-11-27,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-11-30,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-12-04,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-12-07,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-12-11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-12-14,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0
2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-21,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2020-12-25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2021-01-04,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-01-08,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2021-01-11,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2021-01-15,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
