"dates","AMEALCO_DE_BONFIL","PINAL_DE_AMOLES","ARROYO_SECO","CADEREYTA_DE_MONTES","COLON","CORREGIDORA","EZEQUIEL_MONTES","HUIMILPAN","JALPAN_DE_SERRA","LANDA_DE_MATAMOROS","EL_MARQUES","PEDRO_ESCOBEDO","PENAMILLER","QUERETARO","SAN_JOAQUIN","SAN_JUAN_DEL_RIO","TEQUISQUIAPAN","TOLIMAN"
"2020-03-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-28","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0","0","0","0","0"
"2020-03-29","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0","0","0","0","0"
"2020-03-30","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0","0","0","0","0"
"2020-03-31","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0","0","0","0","0"
"2020-04-01","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0","0","0","0","0"
"2020-04-02","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0.00453611077581692","0","0","0","0"
"2020-04-03","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0.00453611077581692","0","0","0","0"
"2020-04-04","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0.00453611077581692","0","0","0","0"
"2020-04-05","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0.00453611077581692","0","0","0","0"
"2020-04-06","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0.00453611077581692","0","0","0","0"
"2020-04-07","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0.00453611077581692","0","0","0","0"
"2020-04-08","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0.00453611077581692","0","0","0","0"
"2020-04-09","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0.00453611077581692","0","0","0","0"
"2020-04-10","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0.00453611077581692","0","0","0","0"
"2020-04-11","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0.00907222155163384","0","0","0","0"
"2020-04-12","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0.00907222155163384","0","0","0","0"
"2020-04-13","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0.00907222155163384","0","0","0","0"
"2020-04-14","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0.0136083323274508","0","0","0","0"
"2020-04-15","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0.0181444431032677","0","0","0","0"
"2020-04-16","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0.0181444431032677","0","0","0","0"
"2020-04-17","0","0","0","0","0","0","0","0","0","0","0.0205548662823729","0","0","0.0181444431032677","0","0","0","0"
"2020-04-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0181444431032677","0","0","0","0"
"2020-04-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0181444431032677","0","0","0","0"
"2020-04-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0181444431032677","0","0","0","0"
"2020-04-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0226805538790846","0","0","0","0"
"2020-04-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0226805538790846","0","0","0","0"
"2020-04-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0181444431032677","0","0","0","0"
"2020-04-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0181444431032677","0","0","0","0"
