dates,AMEALCO_DE_BONFIL,PINAL_DE_AMOLES,ARROYO_SECO,CADEREYTA_DE_MONTES,COLON,CORREGIDORA,EZEQUIEL_MONTES,HUIMILPAN,JALPAN_DE_SERRA,LANDA_DE_MATAMOROS,EL_MARQUES,PEDRO_ESCOBEDO,PENAMILLER,QUERETARO,SAN_JOAQUIN,SAN_JUAN_DEL_RIO,TEQUISQUIAPAN,TOLIMAN
23/03/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
28/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
04/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
07/04/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
08/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
09/04/2020,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14/04/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
15/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
17/04/2020,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0
18/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
20/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
21/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22/04/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
23/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
24/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
25/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26/04/2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
28/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29/04/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0
30/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
02/05/2020,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,1,0
03/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
04/05/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
05/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
06/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
07/05/2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
08/05/2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,2,0
09/05/2020,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0
10/05/2020,1,1,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0
11/05/2020,0,0,0,0,1,0,2,0,0,0,0,0,0,0,6,0,3,0
12/05/2020,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,2,0
13/05/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0
14/05/2020,0,0,0,0,2,0,0,0,0,0,0,0,1,0,7,0,1,1
15/05/2020,0,0,0,0,0,0,2,0,0,0,0,1,1,0,7,0,2,2
16/05/2020,0,0,0,0,1,0,1,0,0,0,0,1,1,0,5,0,5,0
17/05/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0
18/05/2020,0,0,0,0,0,1,0,0,0,0,0,3,1,0,15,0,2,0
19/05/2020,0,0,0,0,1,0,1,0,1,0,0,1,2,0,14,0,3,0
20/05/2020,0,0,0,0,1,0,0,0,1,0,0,1,2,0,7,0,0,1
21/05/2020,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,1,1
22/05/2020,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,0,1,1
23/05/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,0
24/05/2020,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
25/05/2020,2,2,0,0,0,0,0,0,0,0,0,2,0,0,9,0,5,0
26/05/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,2,0
27/05/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0
28/05/2020,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0
29/05/2020,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,1,1
30/05/2020,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,1,2
31/05/2020,0,0,0,0,0,1,3,0,0,1,0,0,0,0,6,0,2,1
01/06/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0
02/06/2020,0,0,0,0,0,0,0,0,0,0,0,1,1,0,21,0,3,1
03/06/2020,0,0,0,0,0,1,1,0,0,0,0,1,0,0,7,0,3,0
04/06/2020,0,0,0,0,0,0,0,0,0,0,0,1,2,0,10,0,1,1
05/06/2020,0,0,0,0,0,1,2,1,0,0,0,1,0,0,6,0,0,1
06/06/2020,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13,0,1,0
07/06/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,3,0
08/06/2020,0,0,0,0,1,1,0,1,0,0,0,0,0,0,16,0,1,0
09/06/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,2,0
10/06/2020,0,0,0,0,0,0,1,0,1,0,0,2,0,0,8,0,2,0
11/06/2020,0,0,0,0,1,0,2,0,0,0,0,1,0,0,9,0,2,0
12/06/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,1,0
13/06/2020,0,0,0,0,0,1,0,0,0,0,0,2,0,0,8,0,2,0
14/06/2020,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,0,0,0
15/06/2020,1,1,0,0,0,0,2,0,1,0,0,1,1,0,17,0,3,0
16/06/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,0
17/06/2020,0,0,0,0,1,0,3,0,0,0,0,1,0,0,8,0,1,0
18/06/2020,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,0,2,0
19/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0
20/06/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,3,0
21/06/2020,0,0,0,0,1,0,1,0,0,0,0,0,1,0,6,0,1,0
22/06/2020,0,0,0,0,0,1,1,1,0,0,0,2,1,0,15,0,2,0
23/06/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,2,0
24/06/2020,1,1,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,0
