dates,AGUASCALIENTES,BAJA_CALIFORNIA,BAJA_CALIFORNIA_SUR,CAMPECHE,COAHUILA,COLIMA,CHIAPAS,CHIHUAHUA,CDMX,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO_LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA_ROO,SAN_LUIS_POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-17,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,35,1.0,0.0,5.0,2.0,6.0,9.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-18,3.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,31,1.0,0.0,1.0,0.0,17.0,5.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
2020-03-19,1.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,11.0,25.0,1.0,0.0,0.0,4.0,1.0,7.0,0.0,5.0,3.0,2.0,0.0,2.0,0.0,0.0,5.0,0.0
2020-03-20,2.0,2.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0,36,0.0,5.0,0.0,3.0,5.0,26.0,2.0,0.0,0.0,12.0,1.0,5.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0
2020-03-21,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,22,1.0,12.0,1.0,3.0,1.0,12.0,5.0,1.0,0.0,4.0,1.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-03-22,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,16,0.0,4.0,1.0,0.0,3.0,16.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-03-23,4.0,4.0,10.0,0.0,1.0,3.0,0.0,3.0,0.0,46,1.0,7.0,1.0,1.0,9.0,24.0,4.0,2.0,2.0,5.0,2.0,8.0,3.0,3.0,2.0,4.0,3.0,3.0,0.0,1.0,4.0,6.0
2020-03-24,0.0,0.0,9.0,0.0,0.0,6.0,1.0,0.0,1.0,62,1.0,1.0,0.0,1.0,8.0,46.0,3.0,3.0,3.0,5.0,1.0,16.0,5.0,7.0,0.0,7.0,5.0,12.0,1.0,1.0,3.0,9.0
2020-03-25,17.0,17.0,7.0,0.0,0.0,1.0,0.0,2.0,3.0,46,1.0,4.0,3.0,5.0,7.0,36.0,2.0,0.0,0.0,2.0,3.0,6.0,2.0,10.0,1.0,8.0,5.0,3.0,0.0,0.0,6.0,5.0
2020-03-26,4.0,4.0,12.0,2.0,0.0,4.0,0.0,0.0,4.0,71,0.0,9.0,4.0,4.0,7.0,46.0,3.0,2.0,0.0,1.0,3.0,16.0,1.0,10.0,1.0,9.0,1.0,5.0,0.0,0.0,5.0,0.0
2020-03-27,6.0,6.0,17.0,4.0,3.0,5.0,0.0,5.0,2.0,63,0.0,7.0,3.0,4.0,7.0,56.0,1.0,1.0,0.0,8.0,1.0,11.0,4.0,7.0,8.0,10.0,6.0,11.0,1.0,1.0,3.0,3.0
2020-03-28,5.0,5.0,7.0,4.0,0.0,5.0,0.0,1.0,2.0,62,0.0,4.0,3.0,0.0,2.0,39.0,1.0,3.0,1.0,2.0,1.0,14.0,2.0,7.0,1.0,7.0,4.0,2.0,3.0,2.0,1.0,5.0
2020-03-29,3.0,3.0,24.0,2.0,1.0,10.0,0.0,0.0,5.0,39,0.0,1.0,1.0,2.0,2.0,26.0,3.0,1.0,0.0,3.0,2.0,6.0,1.0,3.0,6.0,7.0,0.0,9.0,3.0,0.0,2.0,4.0
2020-03-30,4.0,4.0,30.0,14.0,0.0,20.0,1.0,2.0,7.0,82,4.0,5.0,2.0,7.0,8.0,59.0,0.0,3.0,0.0,5.0,2.0,18.0,1.0,22.0,3.0,12.0,1.0,10.0,4.0,1.0,6.0,10.0
2020-03-31,1.0,1.0,45.0,7.0,0.0,14.0,1.0,2.0,7.0,58,2.0,7.0,5.0,7.0,7.0,39.0,4.0,1.0,2.0,0.0,6.0,27.0,4.0,15.0,2.0,16.0,5.0,11.0,5.0,1.0,6.0,4.0
2020-04-01,0.0,0.0,69.0,6.0,0.0,23.0,2.0,4.0,11.0,70,1.0,1.0,3.0,5.0,3.0,70.0,5.0,3.0,0.0,0.0,2.0,20.0,4.0,24.0,0.0,14.0,1.0,8.0,9.0,5.0,10.0,9.0
2020-04-02,1.0,1.0,33.0,11.0,2.0,23.0,0.0,2.0,9.0,85,0.0,2.0,1.0,1.0,8.0,57.0,1.0,9.0,0.0,6.0,0.0,23.0,1.0,13.0,0.0,29.0,3.0,15.0,1.0,1.0,6.0,3.0
2020-04-03,2.0,2.0,43.0,16.0,1.0,28.0,0.0,5.0,6.0,99,0.0,5.0,1.0,3.0,10.0,67.0,6.0,1.0,1.0,2.0,3.0,15.0,4.0,14.0,0.0,10.0,2.0,21.0,9.0,0.0,8.0,10.0
2020-04-04,0.0,0.0,29.0,5.0,0.0,11.0,0.0,1.0,10.0,64,1.0,3.0,2.0,2.0,2.0,45.0,2.0,4.0,4.0,3.0,3.0,11.0,1.0,10.0,3.0,14.0,7.0,3.0,3.0,2.0,2.0,2.0
2020-04-05,2.0,2.0,21.0,5.0,3.0,4.0,0.0,1.0,17.0,59,0.0,4.0,3.0,2.0,2.0,57.0,2.0,3.0,2.0,1.0,2.0,11.0,0.0,11.0,2.0,15.0,2.0,9.0,4.0,6.0,3.0,5.0
2020-04-06,5.0,5.0,79.0,23.0,3.0,28.0,0.0,5.0,16.0,141,1.0,11.0,8.0,4.0,4.0,110.0,6.0,9.0,2.0,10.0,5.0,27.0,4.0,35.0,3.0,32.0,12.0,8.0,10.0,8.0,7.0,14.0
2020-04-07,2.0,2.0,44.0,24.0,0.0,9.0,0.0,2.0,14.0,144,0.0,6.0,11.0,3.0,6.0,86.0,6.0,7.0,2.0,8.0,0.0,14.0,5.0,24.0,5.0,25.0,15.0,13.0,7.0,7.0,13.0,13.0
2020-04-08,1.0,1.0,63.0,24.0,0.0,19.0,0.0,6.0,16.0,140,1.0,9.0,6.0,1.0,9.0,106.0,4.0,11.0,2.0,9.0,5.0,26.0,3.0,29.0,2.0,29.0,16.0,18.0,3.0,6.0,5.0,10.0
2020-04-09,0.0,0.0,61.0,22.0,2.0,7.0,0.0,3.0,16.0,150,1.0,2.0,7.0,0.0,5.0,88.0,9.0,8.0,2.0,1.0,1.0,17.0,3.0,11.0,4.0,13.0,7.0,11.0,5.0,1.0,13.0,11.0
2020-04-10,3.0,3.0,58.0,9.0,1.0,16.0,0.0,3.0,17.0,174,0.0,3.0,5.0,7.0,8.0,109.0,3.0,5.0,0.0,23.0,3.0,8.0,2.0,23.0,1.0,34.0,8.0,16.0,11.0,6.0,11.0,5.0
2020-04-11,1.0,1.0,35.0,7.0,5.0,9.0,1.0,1.0,20.0,127,1.0,7.0,5.0,3.0,5.0,90.0,2.0,2.0,3.0,8.0,2.0,15.0,3.0,20.0,3.0,25.0,6.0,20.0,6.0,8.0,14.0,8.0
